stage,axial,blastomeres,endoderm,epidermis,eye,lateral.line,liver,mesenchyme,mucous,muscle,neural,paraxial.mesoderm,periderm,pgc,pronephros,somites
  3-4,0,149.31,0,0,0,0,0,0,0,0,0,0,14.6,0,0,0
  5-6,12.46,197.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.53,0,7.91,0,13.7,0,0,0,0,0,23.41,24.97,0,20.7,0,0
 10-12,0,6.4,0,0,0,0,0,0,0,0,29.51,15.68,0,0,3.29,0
 24-34,0,0,0,0,0,0,0,3.72,0,0,0,0,1.65,0,0,0.65
 36-46,0,0,0,0,0,0,10.7,0,7.69,1.12,0,0,0,0,0,0
 72-82,0,0,0,0,0,5.83,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0.66,0,0,0,0,0,2.53,0,0,0,0,0,0
 96-106,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.74,0,0,0,0,0,0,0,0,0,1.32,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.53,0,0
