stage,endocrine.pancreas,erythrocytes,eye,glial,iridophores,lateral.line,liver,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord
  7-9,0,0,0,0,0,0,0,0,0,4.46,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.75,0,9.11,0,0,0,0
 14-21,0,0,0.81,0,0,0,0,0,0.9,0,0,0,2.42,4.44,4.02,0
 24-34,0,0,0,0,2.64,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0.74,0,0,0,0,0,0,17.13,0,0,0,0,0,0
 48-58,0,0,10.56,0.72,0,0,0,0.5,4.82,9.39,0,0,0,0,0,0.65
 60-70,0,0,3.54,0.98,0,0,0,0,0,8.25,0,0,0,0,0,0
 72-82,0,0,13.41,0.91,0,0,0,0,0,19.85,0,0,0,0,0,0
 84-94,0,0,7.51,0,0,1.7,0,0,0,11.96,1.32,0,0.92,0,0,0
 96-106,1.19,0.8,3.45,2.72,0,0,1.2,0,0,6.15,0,0,0,0,0,0
108-118,0,0,15.75,0,0,0.89,0,0,0,1.95,0,0,0,0,0,0
120,0,0,1.75,0,0,0,0,0,0,1.94,1.29,0,0,0,0,0
