stage,epidermis,eye,fin.mesenchyme,glial,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,pronephros,spinal.cord,vasculature
 14-21,0.97,0,0,0,0,0,0,1.91,0,0,0,5.31,0
 24-34,0,0,0,0,0,0,0,10.01,1.55,0,6.71,3.3,0
 36-46,0,5.06,0,0.71,0,0,3.96,6.31,1.79,0,1.39,5.54,0
 48-58,2.47,0,0,0,0,0,0,11.62,1.16,0,0,0,0
 60-70,0,0,0,3.74,0,0,0,22.54,3.85,0,0,7.05,0
 72-82,0,7.16,5.87,18.99,0,0,0,12.67,11.13,0,0,9.41,0
 84-94,0,2.23,0,3.65,0,0,0,0.86,10.92,4.06,0,14.86,0
 96-106,0,5.55,0,5.07,0,0,0,1.59,9.89,2.67,0,0.97,2.02
108-118,0,6.15,0.47,3.72,1.4,1.04,2.11,3.42,0.49,1.54,0,0.42,0
120,0,6.74,0,0,0,0,0,0,11.79,3.73,0,0,1.23
