stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,219.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2508.97,0,0,0,0,0,0,0,0,0,0
  5-6,0,349.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.48,0,0,0,0,0,5687.54,0,0,0,0,0,0,0,0,0,0
  7-9,10.05,6.37,0,21.96,0,0,0,28.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.48,22.51,0,0,62.12,0,762.61,0,0,0,0,0,0,0,0,0,0
 10-12,0,12.49,0,11.06,0,8.32,0,33.01,0,0,0,0,0,34.7,0,0,0,0,0,0,0,0,0,0,0,349.79,3.15,0,0,120.13,0,201.04,0,0,10.69,0,0,0,0,0,0,0
 14-21,0,0,0,2.1,30.38,2.87,0,8.5,0,0,0,5.18,10.51,16.68,0,0,27.05,0,0,0,0,7.51,4.2,0,2.02,50.72,35.43,1.02,0,0.86,0,1103.98,0,3.23,0.9,4.81,23.65,0,0,1.08,0,0
 24-34,0,0,4.26,0.83,22.41,0.62,0,10.03,0,1.94,0,3.96,2.67,16.67,0,0,35.34,0,4.47,0.65,0,12.11,61.08,0.81,5.9,201.52,1.25,17.09,1.12,0,0,1699.23,0,0,0.83,0.68,44.79,0,0,10.87,0,0
 36-46,0,0,0,0,15.41,0,0,16.71,2.71,9.65,0.63,20.18,1.44,1.6,2.11,0,55.48,0,10.9,0,9.1,15.74,81.7,0,1.52,276.97,0.66,15.41,0,0,0,2143.48,0,0,0.56,0,38.8,0,1.37,12.5,0,0
 48-58,0,0,0,0,34.98,0,0,67.29,0,18.4,0.73,14.66,6.84,2.75,0,0,28.02,0.41,11.86,0,6.68,18.06,85.36,0.48,4.34,252.49,9.92,8.42,5.61,0,0.39,2076.56,0,0,0,0,31.07,0,0,19.44,0,3.9
 60-70,0,0,0,0,42.98,0,0,82.02,0.94,14.78,0,21.08,7.24,5.75,0,10.48,7.07,0,24.72,11.06,0.73,15.49,39.07,0,5.49,172.83,11.91,12.14,8.68,0,0,1336.03,0,0,3.14,0,25.16,2.77,0,0,0,0
 72-82,0,0,0,0,79.73,9.96,0,78.84,1.52,18.95,3.5,28.22,26.3,4.27,0,1.1,18.59,0,22.76,1.54,0,26.51,87.35,3.05,11.71,141.39,0,8.23,0,0,1.08,918.74,0,0,0,0,6.49,6.01,0,1.18,0,0
 84-94,0,0,0,0,220.33,0.77,0,34.92,0,28.84,0,12.28,59.32,5.68,0,1.18,48.38,3.14,41.23,1.49,0,37.99,81.25,2.96,5.84,49.19,0,31.56,1.31,0,1.65,1978.14,0,0,3.38,0,13.37,37.83,0,0,4.05,5.99
 96-106,0,0,0.87,0,369.05,24.47,0.8,92.41,0,45.71,1.65,27.8,131.57,0,0,6.3,62.2,1.4,50.84,3.85,0,43.92,105.29,0,3.23,98.27,0.59,47.19,1.36,0,0,1919.61,3.82,0,0,0,16.82,54.58,2.3,6.42,5.92,4.58
108-118,0,0,0,0,334.5,12.44,4.48,72.43,2,50.46,1.29,24.64,119.02,0,0,3.3,49.83,0,36.54,3.18,1.01,27.19,79.78,2.51,0.94,135.64,0.49,24.07,6.39,0,0,1507.63,0,0,1.45,0,10.46,48.68,0,0.48,4,6.59
120,0,0,0,0,248.57,22.43,0,107.03,0,55.35,0,62.94,72.61,0,0,4.78,36.96,0,18.4,0,0,30.28,58.33,0,14.04,243.17,3.68,37.61,0,0,0,1076.02,0,0,3.5,0,23.74,13.21,2.63,5.38,3.44,0
