stage,blastomeres,endoderm,epidermis,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature
  5-6,24.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.01,0,0,0,0,0,0,59,3.72,0,0,5.92,0,0,0,0,0
 14-21,0,0,5.74,0,1.49,0,0,2.52,0,0,0,0,0,0.81,0,0,25.26,0,0,0,1.46,0,2.62,3.44,13,0
 24-34,0,0,0.7,0,4.44,0,0,0,0,0,2.14,0,3.48,1.85,0,0,163.69,0.62,0,1.84,0,0,0,2.7,39.53,0.84
 36-46,0,0,2.44,0,8.87,0,0,3.38,0,0,0,0,0,10.71,0,0,274.6,6.51,1.27,0,0,0,0,0,73.6,0.87
 48-58,0,0,3.87,0,48.54,0,0,6.08,0,0,0,0,0,2.78,0,0.43,414.18,0,0,0,0,7.4,0,0,52.39,0
 60-70,0,0,2.97,0,33.55,0,0.84,3.62,0,0,0,0,0,3.98,1.76,0,383.21,0,0,1.26,0,0,0,0,36.3,0.99
 72-82,0,0,0,0,21.5,0,0,4.84,0,0,0,0,0,1.45,0,0,195.87,0,0,0,0,0,0,0,12.14,0
 84-94,0,0,6.89,0,15.36,0.91,0,1.96,0,0,0,0,0,4.24,0,0,126.37,0,2.81,2.36,0,0,0,0,18.78,2.24
 96-106,0,0,0.95,0.59,5.24,0,0,0.94,0,0,0,1.43,0,3.71,2.72,0,78.32,0,0,2.48,0,0,0,0,0,0
108-118,0,0,0.72,4.8,17.19,0,0,0,1.91,0,0,0,0,0,0,0,60.29,0,0,2.33,0,0,0,0,1.82,0
120,0,0,0,7.33,23.82,0,0,15.97,0,0,0,0,0,1.73,0,0,35.63,0,1.91,0,0,3.81,0,0,0,0
