stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,visceral.smooth.muscle
  5-6,11.34,71.51,0,0,0,0,0,0,0,0,16.22,0,0,0,0,0,0,0,0,0,10.37,0,0,0,0,0,0,0
  7-9,0,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0.82,1.02,0,0,0,0,0,0,0,0,0,0,0,0,0,1.48,0,0,0,2.14,0,1.36,0,0,0
 24-34,0,0,0,2.72,0,0.78,0,0,0,0,0,0,0,0.63,0.88,0,0,1.74,12.61,0,0,3.37,0.71,1.45,0,4.1,0,0
 36-46,0,0,0,2.21,0,0,0,0,0,0,0,0,0,0,0.59,0,0,0.72,9.9,0,0,4.83,0,0,0,0,0,0
 48-58,0,0,0,11.05,0,12.16,2.16,0,0,0,0,1.78,0,0,0,0,0.74,0,15.99,0,0,7.68,0,0,0,0.88,2.13,0
 60-70,0,0,0,0,0,10.81,0,0,0,0,0,0,0,0,0.59,0,0,0,13.21,0,0,4.29,0,0,0,1.36,0,0
 72-82,0,0,0,0,0,10.62,0,0,4.35,0.85,0,0,0,0,1.39,0,0,0,13.84,5.43,0,0,0,14.79,0,0,0,4.01
 84-94,0,0,0,2.22,0,4.62,0,0,0.87,0.6,0,0,0,0,0.79,0.86,0,1.74,15.64,0,0,2.97,0,0,0,1.51,1.26,0
 96-106,0,0,0,0.75,0,2.12,0,1.92,1.49,0,0,0,0.78,1.81,0,0,0,0,6.36,0,0,0,0,0,0,0,1.32,0
108-118,0,0,0,3.31,0,4.27,0,0.46,0,0,0,0,0,0,0,0,0,0,3.32,0,0,2.71,0,0,0,0,0,0
120,0,0,0,1.69,0,18.4,0,0,4.51,1.73,0,0,0,0,0,0,0,0,54.68,0,0,3.58,0,0,0,10.6,0,0
