stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,123.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,0,0,0,0
  5-6,7.29,55.9,0,0,0,0,0,0,0,0,0,0,22.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.84,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.39,0,0,0,3.52,0,3.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,3.29,6.58,18.13,0,0,0,0,0,0,0,0.86,0,0,0,0,0,0
 24-34,0,0,0,2.57,0,0,11.54,0,0,0,0,0.67,0,0,0.59,0,0,0,0,4.15,0,1.81,23.87,583.83,0,0,0,0,0.63,0,0,0,19.38,0,0,0,0,0
 36-46,0,0,0,0,2.92,0,6.47,0.59,0.56,0,0.97,0,0,0,0,0,0,0,0,53.04,0,0.59,11.28,683.11,0,0,0,0,0,0.81,0,0,13.84,0,0,0,0,0
 48-58,0,0,0,0,0,0,4.22,0,0,0,6.63,0,0.43,0,0.49,0,0,0,0,175.61,0,0.68,38.78,835.06,0,5.33,0,0,2.8,0,0,0,8.38,0,0,1.38,0,2.82
 60-70,1.92,0,0,0.6,0.81,0,9.66,0,0,0,17.08,0,0,0,0,0,0,0,0,774.21,0,2.75,35.65,586.65,0,7.67,0,0,3.16,0,0,0,10.39,0,0,0,0,0
 72-82,0,0,0,3.11,4.23,0,35.91,2.4,0.68,0,18.73,0,4.68,0,0,0,0,1.1,0,1669.16,0,0.68,29.11,526.26,0,1.85,0,0,0,0,0,0,7.12,0,0,1.66,1.24,0
 84-94,0,0,0,3.17,0,0,36.49,0,0,2.3,23.51,0,0,0,1.42,0,0.8,0,0.99,1782.37,2.01,2.38,37.09,835.44,0,10.44,0,4.76,0,0,0,0,19.02,0,7.34,11.88,3.28,0
 96-106,3.8,0,0,11.86,8.22,0,31.4,3.61,0,0,45.8,0,0,12.17,0,5.73,0,0,0.65,1251.53,0,2.55,37.57,1243.68,1.1,23.9,0,4.72,5.22,0,0,0,4.04,0.67,0,3.76,5.36,7.18
108-118,10.21,0,0,18.33,0.49,4.6,60.81,0,1.36,0,29.99,13.77,0,2.05,0,0,0.69,0,0.61,1261.57,0,2.3,103.69,1994.91,0.43,17.76,0,1.23,11.84,0,0,0,1.26,0,9.89,1.73,1.79,0
120,2.37,0,0,10.1,1.45,1.65,76.6,0,0,0,20.33,3.41,0,2.37,0,0,1.07,0,0,1170.83,0,11.01,65.93,3377.8,0,32.12,0,0,8.37,0,1.12,0,3.71,0,5.53,0,8.03,0
