stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.mesenchyme,gut,hatching.gland,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,spinal.cord,taste,xanthophores
  3-4,12.35,296.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.84,0,0,0
  5-6,30.73,351.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.9,0,0,0,0,0,0,0,0,0,0,0,0,0,33.95,0,0,17.66,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.16,0,0,8.19,0,0,0,0
 14-21,0,0,0,1.02,0,0,0,0,0,0,0,0,0,0,2.56,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0.67,0,0,0.77,0,0.71,2.98,0,0,0,0,0.6,0,0
 36-46,0,0,0,0,0,0,0,0,2.86,0,0,0,0,0,5.82,0,0,0,0,0.69,0,0
 48-58,0,0,0,0,4.11,0,0,0,0,0,0,0,0,0,9.14,0,0,0,0,0,0,0
 60-70,0,0,0.61,0,0,0,0,0,0,0,0,0,0,0,19.83,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.51,0,3.78,0,0,1.71,0,0,15.02,0,0,0,0,0,0,4.34
 84-94,0,0,1.65,0,0,1.21,0,0,0,0,1.52,0,0,0,7.57,0,0,0,0,0,0.61,0
 96-106,0,0,0,0,0,0,0,1.06,1.38,0,0,0,0,0,14.86,0.62,2.41,0,0,0,0,0
108-118,0,0,2.08,0,6.2,0,0,0,2.24,0.71,0,0,1.95,0,10.95,0,0,0,0,0,0,0
120,0,0,2.07,0,4.54,0,0,0,9.19,0,0,0,0,0,26.77,0,0,0,0,0,0,0
