stage,axial,blastomeres,epidermis,eye,gut,immune,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,0,15.8,0,0,0,0,0,0,0,0,0,10.17,0,0
  7-9,9.98,3.89,0,10.92,0,0,0,0,47.86,0,3.96,0,0,0
 10-12,0,0,0,0,0,0,0,0,18.08,0,3.03,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,1.68,0.99,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,6.7,0,6.67
 36-46,0,0,0.57,0,0,0,0,0,0,0,0,1.98,0,3.45
 48-58,0,0,0,0,0,0,0.56,0,0,0,0,0.92,0.47,0
 60-70,0,0,0,0,0,0,0.66,0,0,0,0,6.36,0,0.81
 72-82,0,0,0,0,0,0,2.05,0,0,0,0,0,0,0.68
 84-94,0,0,0,0,0,0,5.06,0,0,0,0,2.97,0,5.19
 96-106,0,0,0,0,0,1.62,0,0,0,0,0,0,0,0
108-118,0,0,0.53,0,0,1.63,0.54,0.48,0.66,1.34,0,4.71,0,8.37
120,0,0,0,0,1.68,14.85,5.51,0,0,0,0,6.73,0,0
