stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,0,37.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,58.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.13,0,0,0,0,0,7.47,0,0,0,0,0,0,0,0,0,23.47,0,0,18.94,0,0,0,0,0
 10-12,0,0,0,17.31,0,0,3.34,0,0,0,0,0,0,0,0,0,7.33,0,0,21.15,0,0,0,0,0
 14-21,0,0,0,1.05,0,0,0,0,0.99,0,0,0,0,0,0.84,0,0,1.35,0,0,1.73,0.87,0,0,0
 24-34,0,0,0,0,0.83,0,0,0,0,0,0,0,0,0,1.13,0,0,0,0,0,0,0,0.71,0,0.73
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0.93,0,1.37,0,0,1.96,0,0,0.88
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,3.53,0,0,0.49,0.37,0,0,0,0,1.5,0
 60-70,0,0,0,0,5.01,0,0,0.58,3.71,0,0,0,0,0,2.98,0,0.93,0,0,0,0,0,0,2.06,0.59
 72-82,0,0,0,0,1.07,0,1.88,1.73,12.92,0,0,0,2.91,0.88,5.55,0,3.86,0,1.31,0,0,0,0,11.24,0.51
 84-94,0,0,0,0,1.26,0,0,0,5.34,0.72,0,0,1.59,1.64,1.73,0,2.4,0,0.64,0,0,0,0,2.6,2.06
 96-106,0,0,0.99,0,0,0,10.48,0,4.6,1.03,0.8,0,0.91,1.87,15.42,0,0,0,2.69,0,0,0,0,16.74,5.79
108-118,0,0,0,0,4.27,1.08,0.87,0,29.03,0.83,4.66,0.8,1.75,2.67,12.9,0.76,3.15,0,0.51,0,0,0,0,3.41,0.55
120,0,0,0,0,0,0,0,0,25.42,8.09,0,0,0,0,6.17,0,18.02,0,0,0,0,0,0,12.75,0
