stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,147.68,3167.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247.23,0,0,0,0,0,0,0,0,0,0
  5-6,73.73,773.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.28,0,0,0,6.9,0,7.14,0,0,0,0,0,0,0,0,0,0
  7-9,0,12.76,0,7.61,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.95,0,0,0,35.47,0,0,46.1,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,16.42,0,0,0,10.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.49,20.26,0,0,3.43,0,3.1,10.42,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,8.94,1.06,0,2.5,0,0,0,0,0.81,0,0,0,0,0,0,0,2.16,0,0,3.47,31.61,5.76,0,2.36,0.81,0,1.11,0,3.6,0,4.11,7.72,0,0,0,0,0
 24-34,0,0,0,0,3.41,0,0,0.61,0,0.61,0,1.51,0,0.67,4.53,0,0,0,0,0,5.51,0.69,0,3.6,10.29,0.7,3.16,0,0,0,2.88,0,0.85,0.94,3.99,6.82,0,0,3.37,0,0
 36-46,0,0,0,0,0,0,0,3.72,0.66,0,0.6,1.72,0,0,11.21,0,0,0,0,0,4.96,0,0,2.6,11.54,0,3.18,1.31,0,0,16.86,0,0,0.7,0,2.29,0,0,2.19,0,0
 48-58,0,0,0,0,11.8,4.62,0,2.4,0,0,0,0.53,0,0.63,19.26,0,0,0,0,0,10.49,0,0,0.53,15.47,0,4.88,0,0,0,43.42,0,0,0,0,0.83,0,0,3.16,0,5.44
 60-70,0,0,0,0,2.06,0.71,0,4.92,1.17,0.94,0,13.9,0,0,5.07,0.67,0,0,4.33,0,18.59,0,5.24,0,6.03,0,2.41,0,0,0,50.79,0,0,0,0,0.88,0,1.77,4.53,0,0
 72-82,0,0,0,0,1.51,1.96,0,6.42,0,0,2.42,14.49,2.01,0.73,10.86,1.03,0,0.64,0,6.45,17.54,0,0,3.77,11.27,0.98,15.61,3.48,0,0.71,55.16,0.56,0,0.66,0,3.9,2.83,0.99,1.77,2.29,23.49
 84-94,0,0,0,0,14.09,2.36,0,3.4,0,5.27,0,12.07,5.21,2.95,28.54,1.94,0.68,3.69,1.37,0,16.89,0,2.02,2.78,10.33,0,9.92,0,0,0,165.09,0,0,3.78,0,0,2.03,0,20.63,5.12,6.24
 96-106,0,0,0,0,23.57,13.26,0,18.85,0,7.75,1.31,23.54,4.38,1.65,32.82,3.53,2.33,2.72,2.12,0,46.12,2.19,2.71,2.61,30.65,0,27.19,0,0,1.6,145.88,1.57,0,0,0,14.99,2.53,3.99,7.39,3.89,9.22
108-118,0,0,0.83,0,45.7,9.08,1.2,4.14,0,9.62,1.5,24,4.04,3.16,33.5,11.21,4.43,1.53,2.34,4.91,64.93,1.87,4.85,2.2,17.66,0,8.43,2.59,0,0,118.81,0,0,1.18,0,5.13,1.63,0.92,26.38,3.02,23.26
120,0,0,0,0,48.8,15.3,0,24.16,0,7.73,0,11.95,14.75,0,48.64,16.23,8.39,0,7.12,0,46.44,4.74,11.35,0,20.57,2.47,3.72,11.89,0,0,154.88,0,0,0,0,5.35,5.54,0,5.93,4.16,1.1
