stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,47.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.93,4.4,0,0,17.04,0,0,0,0,0,0,0,0,0
 10-12,0,0,13.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.39,4.45,0,0,7.32,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,1.5,0,0,0,1.92,0,0,0,0,0,0,0,2.85,0,0,0,0,0
 24-34,0,0,0,0,0,4.66,0,0,0,0,0,0,0,0,0,0,1.21,0,0,0,48.29,0,0,0,0,0,0,0,13.6,0,0,0,0,1.49
 36-46,0,0,0,1.99,0,1.34,0,0,0,1.01,0,0,0,0,0,0,0.72,0,0,0,218.18,0,2.42,0,0,0,19.5,0,44.3,0,0,3.1,0,0
 48-58,0,0.46,0,5.77,0,20.06,0,0,0.42,8.87,0,0,0,0,0.74,0,3.96,0.42,0,0,566.79,0,1.67,0,0,0,0,0,53.83,0,0,3.08,0,0
 60-70,0,0.7,0,2.07,0,75.06,0,0,0,12.55,4.04,0,2.54,0,0,0,5.94,0,0,0,821.75,0,2.18,0.59,0,0,0.84,0,116.93,0,0,1.92,0,0
 72-82,0,0,0,0.54,0,79.2,0,0.55,0,7.91,0,0,0,0,0,0,9.77,0,1.98,0,956.28,0,2.53,0,0,2.83,3.17,0,90.12,0.87,1.24,1.38,0.64,0
 84-94,0,0.7,0,0,0,92.14,0,0.7,0,12.17,0,1.02,0,0,0,0,13.26,0,0,0,757.96,0,0,0.72,0,0,1.32,0,43.02,0,0,1.19,0,0
 96-106,0,0,0,2.35,0,62.45,1.05,0,0,14.95,0,0,0,0,0,0,13.86,0,0,0.88,510.93,0,0,0,0,0,0,0,21.99,0,0,2.02,0,3.35
108-118,0,0,0,7.12,0,53.12,0,0,0,8.62,0,0,0,0.56,0,0.7,0.88,0,3.6,0.53,467.61,0,0.47,0,0,0,1.25,0,26.55,0,0,1.6,0,0
120,0,0,0,14.95,6.81,93.21,0,0,0,19.54,0,0,0,0,0,0,13.35,0,0,0,958.45,0,3.8,0,0,0,2.16,3.15,5.59,0,0,0,0,0
