stage,epidermis,fin_epithelia,fin_mesenchyme,immune,mesenchyme,neural,periderm,vasculature,visceral_smooth_muscle
 48-58,0,0,0,0,0,0.92,0,0,0
 72-82,0,0,0,0,0,9.24,0,0.91,0.7
 96-106,0,0.57,0,0,1.69,0,0,0,0
108-118,1.01,0,2.02,1.68,0,0,0,0,0
120,0,0,0,0,0,0,4.52,0,0
