stage,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,24.6,0,0,0,0,0,0,0,0,0,0,16.74,0,0
  5-6,100.04,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,4.06,0,0,0,0,0
 10-12,0,21.98,0,9.56,0,0,0,0,29.62,0,19.52,0,3.78,0
 14-21,0,0,0,0,0,0,0,0,4.54,0,0,0,0,0
 24-34,0,0,0,0,1.85,0,0,0,3.21,0,0,0,0,0.62
 36-46,0,0,0,0,0,0,0,0,2.57,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.43,0.64,0,0,0,0,0.58
 72-82,0,0,0,0,0,0,1.89,0,1.15,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0
 96-106,0,0,0,0,0.59,2.18,0,0,2.5,0,0,0,0,0
108-118,0,0,0,0,0,0,0,0,0,0.53,0,0,0,0
120,0,0,1.6,0,0,0,0,0,5.38,0,0,0,0,0
