stage,endoderm,epidermis,eye,fin_epithelia,hatching_gland,muscle,neural,somites,spinal_cord
  7-9,3.58,0,0,0,6.52,0,0,0,0
 14-21,0,0,0,0,0,0,1.32,0,0
 24-34,0,0,0,0,0,0,1.52,0.62,1.08
 36-46,0,0,0,0,0,0,1.6,0,0
 48-58,0,0,1.22,4.32,0,0,0,0,0
 60-70,0,2.78,6.24,0,0,2.02,0,0,0
 84-94,0,0,0,0,0,0,0.57,0,0
