stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,32.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,4.92,0,0,0,0,7.47,0,0,0,0,16.36,0,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.85,1.43,0,0,0,2.12,0,0,0,0,0,0,47.67,0,0,0,0,0.84,0,0,0,0,0,1.05,14.04,0,4.19,6.87,0,0,0,0,0
 24-34,0,0,4.98,0,0,0,0,6.13,0,0,0,0,0,0,22.03,0,0.75,0,0,10.06,4.65,0,0,0,0,0,0,0.82,0,8.71,0,0,0,0,0
 36-46,0,0,0.58,0,1.15,1.13,0,0,0,0,1.77,0,0,0,7.3,0,5.73,0,0.74,19.49,5.69,0,10.94,0,1.42,0,1.4,0,0,4.77,0,0,0,0,0
 48-58,0,0,0,0.68,2.53,0,0,5.56,0,0,1.52,4.19,0,0,13.61,0.73,147.61,0,0,13.72,0,0,20.19,0,5.35,0,0,0,0,3.08,0,0,0,0,5.36
 60-70,0,0,1.31,0,20.65,0,1.31,11.92,0,0,0,0,0,0,3.94,0,714.05,0.96,0,16.95,0,0,7.16,0,0,0,0,0,0,4.45,0,0,0,0.96,0
 72-82,0,0,3.08,2.46,25.38,0.53,0,29.62,10.89,0,0,1.13,0,0,46.37,0,987.24,0,3.16,36.3,0,0.7,25.69,0,0,0,0,0,0,0.85,0,0,0,7.92,3.36
 84-94,0,0,2.9,0,33.06,0,0,36.43,18.91,0,0,0.56,0,0,152.11,0,970.95,1.32,0.68,27.53,0.56,0,26.37,0,12.07,0,0.93,0,0,8.49,0.83,1.54,0,5.08,0
 96-106,0,0.95,3.47,0,43.12,0.87,0,46.69,20.37,0,0,1,0,0,259.46,0,593.52,0,2.06,83.06,0,0,24.06,0,1.94,0,0,0,0,0.95,0,8.32,3.98,5.89,0
108-118,0,1.15,2.35,2.42,58.69,0,0.56,50.25,23.7,0,0,0.67,1.82,0.63,450.88,0,483.48,0,8.01,45.65,0,0,41.14,0,1.44,0,0,0,0,1.84,1.7,2.87,0,6.75,0.75
120,0,2.75,4.6,9.31,23.51,0,0,49.37,17.87,0,0,0,0,0,210.96,0,443.9,0,0,77.09,0,0,18.23,0,0,0,0,0,0,4.02,0,0,0,8.03,0
