stage,axial,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,iridophores,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,presomitic_mesoderm,pronephros,slow_muscle,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,26.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.03,49.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.3,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.96,0,0,0,0,0,0,0,0
 14-21,0,0,1.3,0.84,0.91,0,0,0,0,0,0,0,0,0,0,6.32,2.27,0,2.04,1.46,0,5.07,0,0
 24-34,0,0,0,0,1.45,0,0,0,0,1.72,0,0,0,2.62,0.66,21.22,0,0,0,0,0,1.7,0,0
 36-46,0,0,0,0,1.48,0,0,0.99,0,0,0,0,0,0,0,24.87,0,0,0,0,0,6.1,0,0
 48-58,0,0,0,0,4.76,0,0,1.2,0,0,0,0,0,0.91,0,14.68,0.49,0,0,0,0.95,0.93,4.36,0
 60-70,0,0,0,0,3.59,0,0,6.72,0,0,2.09,1.35,0.59,2.23,0,5.05,0,0,0,0,1.29,0,0,0
 72-82,0,0,0,0,2.44,0.63,0,1.89,0,0,0,0,0,0,1.05,5.86,0,0,0,0,0,0,0,1.28
 84-94,0,0,0,1.03,1.52,0,0,0,1.45,0,0,0,0,0,0.73,6.38,0,0,0,0,0,0.64,0,0
 96-106,0,0,0,0,0,0,0,1.44,0,0,0,0,0,0,0,13.25,0,0,0,0,0,0.91,0,0
108-118,0,0,0,0,1.82,0,0,3.54,0,0,0.63,0,0,1.99,0.46,6.9,0,0.58,0,0,0,0,0,0
120,0,0,0,0,0,0,9.33,0,0,5.54,0,0,0,0,0,11.09,0,0,0,0,0,0,0,0
