stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,0,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,5.72,213.1,244.78,0,6.59,0,0,0,31.14,1.87,0,18.22,216.53,0,8.72,108.39,0,16.63,837.05,0,0,638.79,730.89,7.33,25.76,84.52,0,23.6,57.15,2.95,0,104.85,482.09,0,0,297.19,0,47.75
 24-34,5.78,0,1.05,6.72,270.58,51.83,0,67.85,0.72,9.06,22.16,22.07,4.48,2.25,145.94,658.16,4.57,186.62,944.39,24.02,229.17,4088.79,9.42,4.72,1783.78,1013.22,4.87,1029.37,128.52,1.98,121.3,18.74,8.64,3.9,16.76,327.3,0,0,1202.13,0,716.22
 36-46,0,0,0,0,158.61,35.63,0,49.41,3.72,115.79,163.08,52.27,0,0.76,197.79,764.06,7.93,241.34,800.91,87.18,331.62,6314.97,7.33,60.35,1621.61,1022.9,24.57,788.02,84.97,5.89,151.05,22.04,12.74,3.12,0.83,393.07,0,8.39,759.8,0.78,1630.01
 48-58,6.91,0,0,0,71.84,14.35,0,166.91,1.66,92.14,259.49,52.86,0.46,7.27,102.69,405.92,16.22,293.88,585.14,61.76,174.47,7147.68,1.23,84.34,974.15,1035.53,8.76,460.52,61.32,2.55,87.76,0,0,0.46,0,437.73,0,20.74,499.08,3.68,2134.85
 60-70,0.81,0,0.62,0,111.07,12.4,0,193,4.09,91.41,258.1,126.42,3.02,0,49.19,558.87,0.64,715.42,905.8,83.09,210.08,10407.51,11.05,199.79,744.73,951.83,13.04,321.13,95.81,75.77,81.76,0,3.72,0,0,208.24,2.38,142.92,424.85,20.06,3268.92
 72-82,0,0,1.53,6.45,105.8,22.04,0,692.5,7.84,61.02,304.41,643.76,11.85,0,93.99,500.04,8.14,826.12,1149.68,92.04,131.79,13093.49,21.7,390.77,698.07,1237.17,10.08,459.43,49.93,94.86,93.63,0,0,1.07,0,177.23,4.9,301.78,561.46,147.49,3257.52
 84-94,33.27,0,0,4.03,216.85,43.03,0.7,878.13,5.14,69.13,237.56,673.25,16.7,0,59.1,777.59,8.05,934.4,1706.17,59.09,196.19,11167.92,6.76,367.08,679.38,915.04,14.72,1451.77,53.12,102.11,350.95,0,6.34,0.68,0,196.92,12.8,341.02,774.41,187.12,3639.7
 96-106,1.12,0,2.02,1.91,324.07,58.65,18.01,960.23,16.59,78.19,204.18,1759.44,32.33,0,91.62,895.17,6.08,884.78,2417.17,118.31,154.22,13120.47,14.44,414.15,611.19,1594.66,37.99,1824.41,57.42,178.8,342.53,0,37.53,0,0,119.43,30.03,462.09,791.76,314.5,3789.26
108-118,1.12,0,0.84,4.69,277.46,40.39,5.74,536.9,0.44,79.52,264.75,1623.22,33.6,0,58.43,882.35,21.48,1490.57,2597.99,102.68,378.01,17925.8,16.73,394.55,779.78,1396.79,17.06,1265.02,121.06,268.65,329.1,0,5.91,1.39,0,120.86,28.02,316.24,563.86,159.42,5583.47
120,0,0,0,0,385.87,11.92,53.41,680.71,0,28.85,191.32,1418.46,28.24,0,111.63,1349.29,21.45,844.96,1945.21,136.71,65.56,14199.1,16.37,453.02,566.84,1465.84,38.58,668.42,98.8,196.96,142.45,0,0,0,0,60.98,14.68,609.9,662.03,287.81,2097.88
