stage,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.75,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9,0,0,0,0,2.24,0,0,0,0
 36-46,0,0,2.07,0,0,0,0,0,0,0.56,0,0,0,6.86,0,0,6.11,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.96,0,0,0,1.39,0,0,0,4.44,0,0,53.76,0,1.89,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,2.59,0.69,0,28.57,0,1.19,108.52,0,0.89,0,0,0,0
 72-82,13.52,2.77,14.42,0,0,3.05,0,0,0,0.63,13.78,3.23,4.45,85.6,0,0,436.08,0,14.87,0,1.02,0,0
 84-94,1.21,0,1.15,0,0,5.73,0,0,0,0,18.28,0,0,12.92,0,0,866.16,2.13,0.63,0,0,0,0
 96-106,39.87,0,15.54,5.3,0,7.35,0,0,2.81,2.22,30.09,0,0,61.44,25.48,0,1203.33,0.62,2.3,2.49,1.74,122.21,3.39
108-118,17.34,11.64,26.31,8.5,1.79,62.96,0,0.45,0.79,0.89,39.09,0,0.52,57.37,0,0,1183.42,4.11,0.71,0,0,0,0
120,37.81,0,28.21,0,0,40.82,2.91,13.25,0,0,12.24,0,0,6.47,0,0,634.89,0,0,0,0,0,0
