stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.41,354.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,13.78,351.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,4.95,0,3.26,0,0,0,21.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.93,0,0,0,51.07,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,10.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76.29,8.93,0,0,53.44,0,0,0,6.22,0,9.29,0,0,0,0,0
 14-21,0,0,0,1.03,11.58,3.9,0,5.79,0,0,0,4.96,1.11,0,0,0,0,0,0,0,9.06,0,0,5.35,61.08,2.98,0,1.04,2.42,0,1.04,13.63,2.31,10.12,33.55,0,0,1.99,0,0
 24-34,0,0,0,2.53,5.46,0,0,13.13,0,0,0,8.88,0,0,0,0,0,0,0,0.62,18.45,0,0,12.37,266.91,1.27,2.97,0.96,0,0,8.65,0,0,1.25,63.1,0,0,6.58,0,0
 36-46,0,0,0,0,8.25,0,0,30.52,0,0,0,14.9,0,0,13.33,0,0,0,0,0,35.64,0,0.77,5.29,188.11,0,0.89,0,0,0,11.17,0,0.81,0,51.98,0,0,1.85,0,0
 48-58,0,0,0,0,5.93,0.41,0,56.66,0,0.56,0.53,24.37,1.26,1.04,0,4.24,0,1.43,0,0,37.85,0,1.7,7.17,253.27,0,0,1.74,0,0,1.35,0,1.22,0,66.03,0,0,0.62,0,5.1
 60-70,0,0,0,0,0.88,0,0,27.62,0,0,1.23,21.03,0,0,0,0,0,0,0,0,29.45,0,0.69,1.46,97.97,0,4.14,0.59,0,0,6.6,0,0,0,40.61,0,0,0,1.92,5.23
 72-82,0,0,1.09,0,11.46,0,0,56.36,0,0,3.07,42.52,0,0.8,0,0,0,0.91,0,0,39.45,0,2.28,3.92,157.19,0,2.34,0.49,0,0,2.25,0,0.64,0,20.37,0,0,12.43,0,2.9
 84-94,0,0,0,0,6.85,0,0,46.13,0,1.47,0.91,21.96,3.2,0,1.48,0.55,0.87,2.18,0,2.36,31.4,0,2.81,1.26,70.72,0,1.66,4.73,0,0,4.71,0,0.74,0,16.67,0,1.6,2.34,2.03,0
 96-106,0,0,0,0,4.12,0,0,26.42,1.36,0,3.75,23.91,2.25,5.53,4.73,0,0,3.5,0,0.69,29.21,0,0,3.27,73.2,0,2.46,1.71,0,0,1.75,0,0.87,0,5.18,0.56,0,6.49,1.7,1.36
108-118,0,0,0,0,6.08,0,3.96,20.49,0,0,0,32.87,0.48,0,0.63,0.62,0.64,2.05,2.45,6.64,24.39,0.71,0,1.23,72.04,0,2.53,4.16,0,6.74,0,0,0,0,4.96,0,0,1.86,0,1.73
120,0,0,3.73,0,2.45,0,0,18.81,0,7.49,1.88,27.72,2.4,0,0,0,0,0,0,0,26.43,0,0,3.94,91.77,0,4.64,0,0,0,3.42,0,1.56,0,0,0,5.4,5.94,0,13.79
