stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,440.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,0,0,0
  5-6,21.72,1639.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.35,0,0,0,0,0,22.46,0,0,0,0,0,0,0,0,0,0
  7-9,10.23,317.79,0,17.92,0,0,274.69,0,0,0,0,0,10.21,0,0,0,0,0,0,0,0,0,0,0,9738.47,28.49,0,0,2481.54,0,5.5,18.87,0,0,0,0,0,0,0,0,0
 10-12,0,233.88,0,369.44,0,0,523.4,0,0,0,0,0,14.81,0,0,0,0,0,25,0,0,0,0,0,13127.54,77.97,0,0,3134.46,0,3.07,0,0,37.7,0,6.48,37.97,0,0,0,0
 14-21,0,0,0,0,2076.68,2.07,72.95,0,53.09,0,130.33,9.4,2.28,3.56,1.27,0,0,0,0,0,15.1,10.47,0,35.15,8494.54,27.48,92.73,46.05,120.14,0,17.44,0,32.45,0.97,1.15,37.89,3539.23,0,2.95,0,0
 24-34,0,0,0.81,0.86,252.95,2.51,73.34,0,197.13,1.22,262.02,4.05,0,0,0,0.83,3.58,0,0.76,4.82,21.66,5.32,0,27.16,12107.32,3.99,190.53,0.62,0,0,52.87,0,0,4.86,0,15.73,3076.41,0,30.18,0,1.72
 36-46,0,0,0,0,75.27,0,250.37,0.68,192.79,4.86,368.87,0.82,0,2.02,1.53,0.77,0,0,0,2.15,13.33,0.59,1.93,8.46,9394.5,3.11,89.1,4.57,0,0,79.72,0,0,1.73,0,0,3189.94,0,12.46,0,0
 48-58,0,0,0,0,39.71,0,296.76,0,140.77,5.24,640.89,0.66,0,1.26,3.75,0,0,0.85,0.48,0,21.56,0.44,1.25,5.22,3911.25,3.85,42.78,4.88,0,0,115.52,0,0,0,0.56,0,2417.05,0,0,0,5.4
 60-70,0,0,0,0,10.85,0,133.61,0,154.64,6.01,432.96,0,0,0.59,0,0,0,0,0,0,8.94,0,0,0.71,1336.34,0,31.77,2.64,0,2.16,149.65,0,0,0,0,0,818.5,0,0,0,0
 72-82,0,0,0,0,7.18,0,93.43,0,127.69,3.35,475.57,0,0,0,0.58,0.55,0,0,0,0,9.89,0,0,0,944.77,3.83,37.45,4.49,0,0,152.55,0,0,0,0,0,307.91,0,0,0.56,3.36
 84-94,0,0,0,0,10.2,7.56,91.31,0,236.29,0,299.82,1.03,0,0.78,0.59,0,6.24,0,0,0,20.94,6.1,0,0,623.18,1.49,37.06,13.21,0,0,320.57,0,0,0,0,0,227.98,0,0,1.2,0
 96-106,0,0,0,0,34.38,0,55.43,2.9,238.27,2.57,277.14,2.29,0,0.92,0.58,0.57,0,0,0,0,7.43,1.51,0,0,553.7,0,83.59,17.75,0,0,256,0,0,0,0,0,49.3,3.38,0.67,1.55,0
108-118,0,0,0,0,15.33,0,25.08,0,283.33,6.27,315.13,0.64,0,0,0,0,0.69,0,0,0,7.06,2.32,0,3.17,661.63,0,54.61,13.92,0,0,190.7,0,0,0,0,0,45.28,0.77,0,0,0
120,0,0,0,0,12.23,3.12,33.11,0,185.26,0,356.99,2.35,0,0,0,0,0,0,0,0,12.01,0,0,2.79,514.06,0,48.7,0,0,2.76,186.26,0,0,0,0,0,59.73,0,5.33,0,0
