stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,76.94,913.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.11,0,0,0,0,0,0,0,0
  5-6,65.98,1556.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,11.17,0,0,9.43,0,19.02,0,0,0,0,0,0,0,0
  7-9,37.31,35.39,0,21.19,0,0,83.39,0,0,0,0,0,9.63,0,0,0,0,0,0,0,0,0,0,0,716.88,27.85,0,0,268.88,0,4.29,0,0,0,0,0,0,0,0
 10-12,0,0,0,31.95,0,0,73.45,0,0,0,0,0,14.33,0,0,0,0,0,0,0,0,0,0,0,447.58,0,0,0,172.68,0,0,0,43.43,3.11,0,0,0,0,0
 14-21,0,0,0,0,14.9,2,12.42,0,0,0,3.54,0.85,0,0,0,0,0,0,0,4.72,6.53,0,0,7.95,111.61,0.82,0,0.88,6.02,0,0,13.66,3.57,11.26,35.28,0,2.73,0,10.2
 24-34,0,0,0,0,1.3,0,8.97,0,0,0,3.83,0,0,2,0,0,0,0.63,0.69,0,16.77,0,0,8.05,182.06,2.24,0,4.97,0,0,2.58,0,0,0.59,43.58,0,2.11,0,4.69
 36-46,0,0,0,0,2.62,0,23.61,0,0,0,3.25,0,0,1.47,0,0,0,0,0,0,22.97,0,0,4.21,144.27,0,0,0.61,0,0,1.48,0,0,0,31.62,0,0,0,0
 48-58,0,0,0.46,0,0,0,31.13,0,0,0,16.7,0,0,0,0.56,0,0,0.39,0,0.79,13.78,0,1.01,2.96,103.74,0,0,0,0,0,0,0,0,0,13.14,0,1.27,0,0
 60-70,0,0,0,0,4.24,0,47.86,0,0.6,2.22,9.53,0,0,0,0,0,0,0,0,0,20.01,0,0,3.91,47.79,0,2.19,0,0,0,0.64,0,0,0,5.95,0,1.64,0,0
 72-82,0,0,0,0,0,0,53.11,0,0,0,8.7,0,0,1.25,0,0,2.08,1.68,0,0,23.28,1.21,0,2.92,96.43,0,0.75,0.51,0,5.36,2.19,0,0,0,6.91,1.21,4.8,0,1.18
 84-94,0,0,0,0,3.01,0,35.97,0,0,0,6.32,1.54,0,0.6,0.75,0,0.82,0.61,7.45,0,24.66,0,0,1.64,31.09,0.72,0,1.73,0,0,0.67,0,0,0,8.7,0,0,0,0
 96-106,0,0,1.1,0,0,0,26.32,1.43,1.15,0,12.81,2.31,0,0,0,0,0.79,0,0,0,28.78,0,2.69,0.72,33.21,2.3,2.22,0,0,0,2.7,0,0,0,7.71,0,7.15,0,0
108-118,0,0,1.22,0,1.69,0,27.13,0,0,0.47,11.99,2.63,0,0,1.2,1.03,1.79,0,0,0,24.5,0,1.29,0.66,38.04,0,0.46,0.87,0,0,0,0,0,0,5.94,0.64,1.26,0.6,0
120,0,0,0,0,0,0,8.85,0,0,0,4.66,1.38,0,0,3.17,2.02,0,2.12,0,0,19.21,11.75,2.21,0,118.26,0,0,0,0,0,1.39,0,0,0,0,0,0,0,0
