stage,axial,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,iridophores,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,presomitic.mesoderm,spinal.cord,vasculature
  3-4,0,87.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.28,141.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.88,0,0,0,0,8.14,0,0,62.2,3.59,21.79,0,0,0,0
 10-12,0,0,3.66,0,14.41,0,0,0,0,11.96,7.36,14.81,0,0,0,0
 24-34,0,0,0,0,0,0.7,0,0,0,1.84,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.62,0,0,0,0,0,0.63
 48-58,0,0,0,0,2.85,0,0,0,10.72,0.82,0,0,4.01,0.92,0.58,0
 72-82,0,0,0,0,0.57,0,0,0,0,0.49,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,1.68,0,0,0,0,0,0
 96-106,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0,1.43,1.65,3.79,0,0,0,0,0,0
