stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,hatching_gland,heart,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,266.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,196.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.32,0,5.94,0,0,0,4.66,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,79.7,0,0,0,25.78,0,0,5.28,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.73,0,0,0,6.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.05,0,0,0,61.38,0,0,5.62,0,18.32,0,0,0,0,0,0,0
 14-21,0,0,2.04,19.78,8.07,0,15,0,0,0,2.13,0,0,0,0,0,0,12.36,0,0,6.84,169.47,0,1.04,0.81,0.84,0,1.31,0,24.96,0.87,0,18.11,37.02,0,1.09,0,0
 24-34,0,0.84,0.82,5.31,0,0,16.58,0,0.85,0.68,2.04,0,1.44,0.62,0,0,0,15.99,0,0,10.74,205.76,3.18,0,1.37,0,0,4.51,0,0,1.34,0,2.38,43.53,0,25.8,0,1
 36-46,0,0,0,8.7,0,0,21.83,0,0,0.96,11.81,0,2.18,0,0,0,4.28,34.03,0.56,0,6.32,233.27,5.37,3.86,0.91,0,0,3.69,0,0,16.58,0,0,41.45,0,18.61,0,2.86
 48-58,0,0,0,1.21,0,0,43.16,0,0,0.5,20.69,0,2.57,0,0.39,0,1.7,35.19,0,0,4.33,206.44,0.5,0,1.5,0,0,0,0,0,0,0,0,47.95,0,23.18,0,0
 60-70,0,0,0,4.05,0,0,54.91,0,0.81,0.75,36.14,0,0,0,0,0,0.86,45.04,0.85,6.48,2.95,154.26,1.95,0,0,0,0,0,0,0,0,0,0,36.54,2.35,8.04,0,4.94
 72-82,0,0,0,0.98,0,0,63.97,0,4.73,1.14,31.36,0.65,0.6,0,0,0,0,80.25,1.23,2.75,2.37,174.78,0,8.87,1.27,0,1.1,1.29,0,0,0,0,0,14.97,0,16.67,1.88,0
 84-94,0,0,0,8.66,0,0,82.76,0,0.6,0.83,26.89,0,6.83,0,0,0,0,65.93,0,1.47,3.96,111.46,1.97,0.77,2.77,0,0,2.97,0,0,0.66,0,0,20.45,2.18,26.32,0,0.89
 96-106,0,0,0,25.59,0,0,51.65,1.46,0,0.93,69.21,0,3.05,0,4.11,2.35,0,63.54,1.41,0,11.38,85.42,2.01,0.77,3.79,0,0,7.35,0,0,0.6,0,0,17.88,0,37.54,1,0
108-118,0,0,0,12.11,0,1.46,56.34,0,3.88,0,55.11,0,0,0,6.65,0,1.99,83.86,3.5,3.17,4.89,135.49,2.06,3.63,1.51,0,5.61,5.69,0,0,2.28,0.51,0,11.39,1.26,23.56,2.09,0
120,0,0,0,8.21,0,0,26.63,0,1.33,0,57.01,0,5.74,0,0,0,0,59.31,1.72,0,12.84,135.05,3.72,0,0,0,0,0,0,0,1.74,0,0,14.81,1.46,0,0,0
