stage,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  7-9,0,0,0,0,0,0,0,0,0,7.38,0,16.75,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,75.35,0,104.09,0,0,6.34,0,0,0,0
 14-21,4.69,1.03,0,0,0,0.97,2.88,1.94,8.24,1.91,1.14,7.04,0,9.43,1.56,5.25,24.68,0,0
 24-34,0,0,0,0,0.99,4.06,0.74,0,0.68,4.77,0,0,0.95,0,0,1.26,13.41,0,0
 36-46,0,0,0,0,0.63,0,0,0.68,0,9.33,0.66,0,0,0,0,0,19.02,0,0
 48-58,0,0,0,0.86,0,0,0,2.57,0.39,4.92,0,0,0,0,0,0,27.38,0,0
 60-70,0,0,0,0,0,0,1.93,1.87,0,15.72,0,0,0,0,0,0,28.16,0,5.04
 72-82,0,0,0,0,0,0.55,0,0,0.66,9.06,0,0,0,0,0,0,9.45,0.93,0
 84-94,0,0,0,0,0,1.45,0,2.07,0,6.27,0,0,0,0,0,0,20.25,0,0
 96-106,0,0,0,0,2.3,0,0,0,0.61,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0.88,0,0,1.62,0,0,0,2.31,0,0,0,0,0,0,0,0,0
