stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,glial,ionocyte,liver,mucous,neural,notochord,paraxial.mesoderm,periderm,spinal.cord,vasculature
  3-4,10.32,222.74,0,0,0,0,0,0,0,0,0,0,0,16.93,0,0
  5-6,6.34,273.43,0,0,0,0,0,0,0,0,75.21,8.7,0,0,0,0
  7-9,0,0,0,0,0,9.43,0,0,0,0,104.65,7.99,21.5,0,0,0
 10-12,0,6.21,0,0,0,0,0,0,0,0,16.11,0,5.5,0,0,0
 14-21,0,0,1.3,0.89,0,1.21,0,0,0,0,1.2,0,0,0,1.85,0
 24-34,0,0,0,1.09,1.22,0,1.55,0.89,1.2,0,3.55,0,0,1.5,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.72,2.07,0,0,10.78,1.11,1.85
 48-58,0,0,0,0,0,0.73,0,0,0,0,1.42,0,0,0,0,0
 60-70,0,0,0,0,0,0,2.21,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,0.96,0,0,0,1.99,0,0
108-118,0,0,0,0,0,0.81,0,0.89,0,0,0,0,0,0,0,0
