stage,epidermis,erythrocytes,eye,fin.epithelia,glial,heart,immune,mesenchyme,muscle,neural,olfactory,otic,pericytes,periderm,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,1.29,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,13.26,0,0,0,0,2.55,0,0
 36-46,1.07,0,0,0,0,0,0,0.85,0,87.03,0,0,0,0,7.47,0,0
 48-58,0,0,9.26,0,0.73,0.48,0,0.44,0.38,99.96,0,0,0,2.01,13.93,0,0
 60-70,2.58,0,39.59,0,0,0,0,3.57,0.96,184.25,0,0,0,0,38.19,0,0
 72-82,0,0,36.01,0,4.54,0.6,0,7.12,1.35,106.82,0,0,2.75,0,17.2,0,1.08
 84-94,0.9,0,40.11,0.56,2.47,0,2.11,10.17,0,70.02,1.46,0,0,0,13.59,0,0.68
 96-106,0,0,45.65,0,3.48,0,0,5.04,0,51.87,0,0,0,0,4.19,1.1,0
108-118,1.3,0.94,26.34,0,2.76,0.93,0,19.7,0,80.49,0,1.22,0,0,4.42,0,0
120,6.09,8.88,14.15,0,24.01,0,4.65,0,0,231.11,1.11,3.73,0,0,0,0,0
