stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,ionocyte,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,xanthophores
 14-21,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0.89,0,9.9,0,0
 24-34,1.26,0,0,1.02,0,0,0.61,0,0,0,0.86,0.68,0,0,137.24,0,2.73,0,0,0,0,36.91,0,0
 36-46,0.73,0,0,20.82,1.39,0,0,0,0,0,0,0.67,0,0,387.28,0,1.34,0,0,0,5.53,72.77,0,0
 48-58,0,4.35,0,83.99,0,0.75,0.66,0,0,0,0,6.88,0,0.38,405.81,0,0.47,0,0,0,0,64.85,0,0
 60-70,0,4.88,0,336.64,0,0,2.72,0,0,0,0,5.98,6.11,0,602.31,0,3.3,0,1.77,0,0,81.91,0,0
 72-82,0,0.54,0,319.3,0,0.67,4.03,0,0.66,0,2.18,5.4,0.51,0,396.3,0,1.19,4.95,0,0,0,41.45,0,3.44
 84-94,1.01,1.92,0,278.15,0,0,3.45,0.57,0,0,0,9.74,0,0,342.87,0.62,18.17,0,0,0,0,41.53,0,0
 96-106,0.81,0.86,0,191.75,0.71,3.11,6.33,0,0,0.61,0,10.06,0,0,311.74,0,0,2.01,0,0,0,2.37,0,0
108-118,0,3,0.47,154.7,0,0,5.18,0,0,1.43,0,2.15,0,0,281.44,0,1.55,0,0,0,0,14.26,0.89,0
120,0,3.33,0,129.05,0,0,17.14,0,0,0,0,11.01,9.54,0,541.02,0,0,1.29,2.05,0,0,20.02,0,1.1
