stage,blastomeres,epidermis,eye,glial,heart,immune,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,spinal.cord
  5-6,8.52,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.69,0,4.92,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,5.95,0
 14-21,0,0,0,0,0,0,1,2.32,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.97,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,1.64,0,0,0,0,0
 48-58,0,0,0,1.56,0.41,0,0,0,0.91,0,0,0,0
 60-70,0,0,3.79,0.64,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.08
 96-106,0,0,0,2.46,0,0,0,0.71,0,0,1.31,0,0
108-118,0,0,0,0,0,0,0,0.71,0,0,0,0,0
120,0,1.14,0,0,0,1.01,0,0,0,0,0,0,0
