stage,axial,blastomeres,endoderm,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,pgc,spinal.cord,visceral.smooth.muscle,xanthophores
  3-4,0,853.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.89,0,0,0,0
  5-6,17.94,422.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.54,0,0,13.56,0,0,0,0
  7-9,0,7,4.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.94,0,25.59,0,10.61,0,0,0
 10-12,0,3.56,0,0,3.65,0,0,0,0,0,0,0,0,0,0,0,0,0,10.75,0,5.78,0,4.8,0,0,0
 14-21,0,0,0,4.47,0.93,0,0,0,0,0,0,0,0,0,0,3.54,0,0,6.1,0,1.08,1.2,0,0,0,0
 24-34,0,0,0,1.79,0.61,0,0,0,0,0,0,0.95,0,0,0,0,0,0.66,18.37,0.64,0,1.57,0,2.98,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0.86,1.37,0,29.26,0,0,2.32,0,2.35,0,0
 48-58,0,0,0,0.5,4.76,0,0,0,0,0,1.75,0,0,0,5.16,0.65,0,0,12.32,0,0,9.34,0,0.92,0,0
 60-70,0,0,0,0,9.31,0,0,0,0,0,0,0,0,0.87,0,6.32,0,0,38.2,0,0,1.8,0,7.18,0,0
 72-82,0,0,0,1.11,12.8,0,0,2.09,0,0,0,0,0,0,0,1.13,0,0,50.37,0,0,0,0,0,0,1.76
 84-94,0,0,0,5.91,3.34,0,0,0,0,0,4.79,0,0,0,0.86,0,0,0,21.16,0,0,2.74,0,0,2.3,1.5
 96-106,0,0,0,0,7.51,0,0,0.75,0,1.61,5.78,0,1.18,0,0,0.98,0,0,45.46,0.68,0,0,0,0,0,0
108-118,0,0,0,0.5,6.3,0.43,1.53,0,0.45,0,2.01,0,0,1.66,0,3.43,0,0,4.48,0,0,7.33,0,0,0,1.55
120,0,0,0,5.27,1.74,0,0,14.66,0,0,0,0,0,0,0,0,0,0,10.06,0,0,3.21,0,0,0,0
