stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,83.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35.03,0,0,0,45.52,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.17,0,0,0,15.05,0,0,12.03,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,0.81,1.72,0,3.86,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74,0,0,0.97,42.22,0,0,0,0,0,0,0,0,0,1.86,9.39,0,0,0,0,0
 24-34,0,2.51,0,1.3,0,0,13.29,0,0,0,0.87,0,3.17,0,1.21,1.02,0,0,0,0.8,6.77,4.95,0,0.75,132.58,0,10.48,0,0,0,0,0,0,0,0,38.71,0,0,0,0,0
 36-46,0,0,0,0,0,0,53.85,0,1.39,0,2.96,0,0,0,0,0,0,0,0,0,0.8,0,0,0,214.86,0,6.44,0,0,0,23.61,0.81,0,0,0,18.45,0,0,0,0,0
 48-58,0,0,0,0,0,0,116.74,0,0.8,0,4.09,0,2.08,0,0,0,0,0.44,0,0.87,11.66,0,0,0.39,272.32,0,2.96,0,0,0,2.67,0,0,0,0,36.4,0,0,3.49,0,5.29
 60-70,0,0,0,8.03,16.2,0,753.68,0,1.96,0,62.33,0,0,0,4.9,0,0,0,0,1.32,66.04,0,11.31,3.12,595.39,0,0.84,7.45,0,0.66,1.32,0,0,0,0,59.02,0,0,16.67,0,4.38
 72-82,0,0.79,0,3.61,49.72,0,1635.05,0,1.41,5.31,157.61,7.12,0.6,2.99,6.15,0,1.86,4.65,0,0.49,125.98,1.48,4.97,5.63,840.75,0,3.17,6.29,0,0.72,3.84,0,0,0,0,71.16,7.1,0,28.91,8.14,23.76
 84-94,0,0.66,0,22.58,53.83,0,1440.51,0,6.12,2.18,142.06,1.25,0,1.8,1.87,1.54,3.29,1.68,0,17.61,168.99,8.12,11.74,19.72,814.49,0,4.42,3.58,0,7.83,35.7,0,0,0,0,63.69,5.13,1.08,36.29,11.48,2.48
 96-106,0,2.46,0,53.43,117.33,1.05,1964.69,0.76,8.5,3.38,271.62,5.28,0,4.57,3.38,6.18,5.02,9.84,18.47,9.14,239.46,0,20.8,20.41,963.69,1.72,22.52,12.77,0,18.01,91.26,0,1.71,0.71,0,53.58,12.07,5.07,35.31,5.88,24.32
108-118,0,6.37,0,107.73,54.36,7.27,2242.51,0.54,24.39,7.72,306.38,9.77,0,3.99,6.4,3.04,12.71,5.22,18.37,12.58,383.63,4.77,23.29,27.81,1133.19,6.55,8.44,22.69,0,19.78,47.61,0,0.76,1.6,0,51.08,15.99,4.98,44.73,13.66,17.21
120,0,3.01,0,179.65,148.54,0,2447.82,3.15,17.09,9.22,534.3,39.19,0,2.18,36.88,4.95,37.26,17.24,40.29,1.51,639.48,7.86,28.91,56.91,2575.8,16.75,21.2,41.67,0,24.18,113.25,0,9.01,1.6,0,84.5,25.34,3.24,60.07,35.35,2.34
