stage,blastomeres,eye,mesenchyme,muscle,neural,presomitic.mesoderm,spinal.cord
  5-6,8.46,0,0,0,0,0,0
 10-12,0,4.29,0,0,6.89,0,0
 14-21,0,0,0,1.58,0,1.73,0
 24-34,0,0,0,0,1.25,0,0.89
 36-46,0,0,0,0,1.2,0,0
108-118,0,0,0.89,0,1.67,0,0
