stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,iridophores,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,otic,pericytes,periderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature
 10-12,5.85,0,0,0,0,0,0,0,0,0,0,0,0,0,10.32,0,0,0,0,0,0,0,0,0
 14-21,0,1.48,1.24,0,0,0,0,0,0,0,1.11,0,0,0,0,0,0,0,0,0,0,2.5,0,0
 24-34,0,0.81,0,0,0.73,0,0,0,0,0,4.25,0,0,0,7.78,0.9,0,0.84,0,1.73,0.62,0,0,1.82
 36-46,0,0,0,0,0.76,0,0.68,0,0,0.61,4.33,0,4.64,0.74,1.55,0,0,0,0,0,0,6.53,0,0
 48-58,0,0,0,0,14.8,0,9.74,0,0,0,2.25,0,0.42,4.24,5.15,0,0,0,0,0,0,0.47,0,4.53
 60-70,0,0,0,0,24.73,0,8.64,0,0,0,9.19,0,0,0,17.26,3.57,0,3.47,0,0,0,13.12,0,0
 72-82,0,0.98,0,0,6.26,0,4.2,1.99,0.55,0,7.59,0,0,0.81,1.99,0,0,0,0,0,0,0,0,0
 84-94,0,1.42,0,0,4.94,0,2.6,0,0.58,0,19.4,0.89,10.16,0.8,3.4,0,0,0,0,0,0,1.5,0,8.62
 96-106,0,1.46,0,0,2.17,0,3.48,0,0,0,12.9,0,0,0,11.2,0,0,3.49,0,0,0,0,0,0
108-118,0,0.56,0,0.55,7.84,1.14,5.9,10.33,2.17,2.36,16.74,0,0,1.45,0.98,1.82,0,0.41,0,0,0,0,1.01,3.59
120,0,2.63,0,0,5.02,0,4.64,0,0,0,3.95,0,0,0,20.58,0,16.5,0,1.12,0,0,0,0,2.5
