stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.35,539.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57.94,0,0,0,0,0,0,0
  5-6,28.91,165.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.92,0,0,0,0,0,0,0
  7-9,0,8.95,0,0,0,0,3.3,0,0,0,3.49,0,0,0,0,0,0,0,0,112.96,0,0,0,26.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,6.27,0,0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,152.68,12.46,0,0,15.99,0,0,5.47,0,3.64,0,0,0,0
 14-21,0,0,0,0.86,8.13,0,1.13,0,0,0,0,0,0,0,0,0,2.98,0,0.87,36.29,0,0,2.33,1.02,0,0,0,6.24,0,2.44,6.54,0,1.02
 24-34,0,0,0,0,4.07,0,2.64,0,2.42,0,0,0,0,0,0,0,3.21,0,3.11,21.5,0,0,2.43,0,0,0,0,0,0,1.32,5.11,0,0
 36-46,0,0,0,0,0,1.17,5.98,0,3.28,0,0,0,0,0,0,0,5.84,0,0,23.45,0.84,0,0,0,0,0,0,0,0,0,3.92,0,2.41
 48-58,0,0,0,0,1.12,0,1.35,0,0,0,0,0,0,0,0,0.49,5.18,0,0.38,18.01,0,0.65,0,0,0,0,0,0,0,0,3.99,0,0
 60-70,0,0,0,0,0,0,12.06,5.31,2.29,0,0,0,0,0,0,0,6.75,1.34,0,12.02,1.09,0,0,0,0,0,0,0,0,0,0,0,3.32
 72-82,0,0,0.61,0,3.14,5.27,5.16,0,2.31,0,0,0,0.5,0,0,0.67,8.03,6.32,0.66,3.61,0.53,0,0.67,0,1.77,1.37,0,0,0,0,0,0,1.59
 84-94,0,0,0,0,2.05,0,3.4,0,0.85,0,0.66,1.14,2.33,0,2.02,0,4.26,1.27,1.13,11.48,0.66,0,0,0,0,1.25,0,0,0,0,2.86,0,0.59
 96-106,0,0,0,0,0.61,9.51,6.84,0,8.93,0,0,0,0.92,0.64,0,0,3.49,0,1.66,5.84,0,2.74,0,0,0,5.71,0,0,0,0,0,0,0
108-118,0,0,0,0.61,5.23,2.46,5.83,0.6,5.25,0,0,0,0,0.47,0,0,12.73,0,0,13.61,0,1.3,0.44,0,1.35,10.9,0,0,0,0,0,0.57,0.64
120,0,0,0,0,11.02,14.27,0,0,0,1.13,0,0,0,0,0,0,5.92,5.52,1.08,0,0,0,0,0,0,2.47,0,0,0,0,0,0,0
