stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,532.2,5033.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293.97,0,0,0,0,0,0,0,0,0,0
  5-6,461.24,7027.6,0,8.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274.37,49.12,0,0,44.66,0,79.76,0,0,0,0,0,0,0,0,0,0
  7-9,14.14,12.43,0,29.95,0,0,18.21,0,0,0,0,32.35,0,0,0,0,0,0,0,0,0,0,0,777.36,11.08,0,0,194.68,0,0,6.94,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,19.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.82,0,0,0,0,0,0,0,3.96,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,3.35,2.83,1.04,0,0,0,0,0,1.3,0,0,0,0,0,0,0.83,0,0,0,3.08,0,0,0,0,0,0,3.16,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,1.99,2.91,0,0,0,0,0,0,0,3.07,0,0,0,1.54,0,1.99,0,0,3.35,13.57,0,0,0,0,0,0,0,0,0,1.89,0.87,4.29,0,0,5.06,0
 36-46,0,0,0,0,0,8.36,5.01,0,0,0,0,0,0,12.04,0,12.95,0,0,0,4.96,0,0,0,20.34,0,0,0,0,0,0,0.81,0,0,0,0,6.74,0,0,0.82,0
 48-58,0,0,0,0,0.44,4.51,0.78,0,0.39,0.64,0.43,0,0,6.51,0.82,0,0,0,0,3.4,0,0.77,0,18.54,0,1.55,0,0,0,0.43,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,2.06,8.72,0,0,0,0,0,0.95,10.17,0,0,0,0,0.73,15.18,0,1.4,0.76,31.51,0,1.08,0,0,0,0,0,0,0,0,0,0.99,0,0,1.7,1.45
 72-82,0,0,0,0,1.43,8.3,1.67,0,0,2.54,1.56,0,0,26.29,0.7,0,0,0.79,0,12.17,0,1.02,0,17.88,0,4.03,0,0,0,1.13,0,0,0,0,0,1.69,0,0.93,7.85,0
 84-94,0,0,1.29,0,0.57,20.62,4.47,6.39,0,3.21,11.74,0,1.8,38.87,3.2,0,0,0.57,0,5.48,2.4,5.11,0,13.93,0,5.08,3.38,0,0,7.48,0,0,0.8,0,0,5.76,5.21,0,9.46,0
 96-106,0,0,0,0,4.16,8.49,12.64,2.16,0,0.93,5.46,0,1,38.46,0.89,0,0,0,0,28.72,4.69,1.1,2.34,37.03,0,12.11,0,0,0.79,40.49,0,0,0,0,0,0,3.71,1.96,7.16,4.49
108-118,0,0,4.54,0,16.17,4.95,5,1.06,0.83,7.85,2.51,0,0,33.19,4.83,1.06,1.36,0.44,0.66,27.68,4.92,2.24,0.93,29.41,0,2.9,3.97,0,4.36,15.54,0.63,0,0,0,0,4.43,7.49,4.04,8.34,0
120,0,0,0,0,12.55,1.38,25.08,3.91,0,0,1.18,0,1.85,46.34,1.36,1.11,0,0,0,17.61,0,0,0,35.7,0,7,0,0,0,51.42,0,0,0,0,0,0,0,0,8.02,0
