stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,152.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,11.85,21.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.89,0,0,0,0,0,0,0,0,0
 10-12,0,6.4,5.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.28,6.28,0,12.22,0,13.56,13.93,0,0,0,0,0,0
 14-21,0,0,0,2.93,0,0,0,0,0,0,0,0,0,1.2,0,0,2.45,12.47,0,0,0,0,2.11,0,0.88,6.4,0,0,0,0
 24-34,0,0,0,2.06,0,0,0,0,0,1.01,0,0,0,5.24,0,0,1.79,20.88,0,1.58,0,0,7.81,0,0,6.87,0,2.18,0,0.93
 36-46,0,0,0,0,0,0.62,0,0,3.07,0,0,0,0,4.91,0.63,0,1.08,9.36,0,1.01,0,0,7.47,0,0,2.87,0,0,0,0
 48-58,0,0,0,0,0,2.8,0,0,2.87,0.41,0.51,0,0,8.36,0,0,0.91,13.43,0,1.81,0,0,14.78,0,0,3.51,0,7.05,0,0
 60-70,0,0,0,0,0,0,0,0,8.08,0,0,0,0,2.93,0,1.92,0,16.33,0,0,0,0,30.42,0,0,0,0.61,3.64,0,0
 72-82,0,0,0,0,0,0,0,0,2.18,0,0,0.69,0,5.64,0,0,1.71,5.21,0,0.56,0,0,12.82,0,0,0,0,1.35,0,0
 84-94,0,0,0,7.05,0,0,0.79,0,0.56,1.45,0,0,0.92,0,2.59,0,0,6.32,0,0,0,0,32.06,0,0,0,0,1.94,0,0
 96-106,0,0,0,0.67,0,0,1.32,1.09,2.74,0,0,0,0.67,15.86,5.35,0,0,9,0,0.58,0,0,44.1,0.73,0,0,0,0,0.8,0
108-118,0,0,0,2.84,0,0,0,0,1.4,0.43,0,1.1,0,11.36,10.14,0,0,10.42,0,0.68,0,3.28,43.61,0,0,0,1.37,0.65,0,0
120,0,0,0,2.52,4.51,0,0,0,0,0,0,0,1.28,0,0,0,1.9,0,0,0,0,0,22.33,1.21,0,0,0,0,0,0
