stage,eye,mesenchyme,muscle,neural,notochord,olfactory
 14-21,0,0.84,0,0,0,0
 24-34,0,0,0,1.07,0,0
 48-58,0.88,0,0.52,0,0,0
 72-82,0,1.63,0,1.12,0,0
 84-94,0,2.44,0,0,0,5.9
 96-106,0,0,0,2.93,0,5.98
108-118,0,0,0,2.11,4.46,9.09
