stage,blastomeres,endoderm,epidermis,eye,glial,hatching.gland,immune,ionocyte,mesenchyme,neural,olfactory,periderm,spinal.cord,vasculature
  3-4,23.58,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,3.49,0,0,0,0,0,0,0,0
 10-12,0,10.34,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.03,0,4.55,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,5.89,0,0,9.06,0
 48-58,0,0,0,0.4,0,0,0,0,0,13.1,0,0,0,0
 60-70,0,0,0,24.04,0,0,1.88,0,0,49.52,0,0,6.56,0
 72-82,0,0,0.91,10.65,0,0,0,0,0,84.19,0,0,0.68,0
 84-94,0,0,0,23.45,4.59,0,0,0,0,33.82,0,3.13,2.71,0
 96-106,0,0,0,38.43,0,0,0,0,0,38.81,0,0,2.7,0.83
108-118,0,0,0.53,28.26,0.62,0,0,0,2.55,19.44,1.39,0,3.42,0
120,0,0,0,14.79,1.62,0,0,0,0,26.51,0,0,0,0
