stage,eye,immune,mesenchyme,vasculature
 48-58,1.08,0,0,0
 60-70,0,0,0.92,0
 72-82,0,3.46,0,0
 84-94,0,4.38,0,0
 96-106,0,9.36,1.08,0
108-118,0.65,2.71,1.15,0.44
120,0,4.2,0,0
