stage,axial,blastomeres,endoderm,neural,paraxial_mesoderm,presomitic_mesoderm
  3-4,0,11.02,0,0,0,0
  5-6,8.5,112.23,0,12.46,0,0
  7-9,0,0,0,28.01,22.58,0
 10-12,0,0,4.73,71.31,25.88,4.61
