stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,heart,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,spinal.cord,taste,visceral.smooth.muscle
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,19.76,0,0,0,0,0,0
  7-9,0,0,3.72,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0
 14-21,0,1.69,0.93,0,0,0,0,0,0,0,0.92,0,1.87,0,0,0,2.3,0,0
 24-34,0,0,0,0,0,0,1,0,0,0.73,1.31,1.35,10.8,0,0,7.41,4.36,0,0
 36-46,0,0,1.83,0,0,0,5.36,0,0,0,1.42,0,56.53,0,0.84,3.36,11.55,0,0
 48-58,0,0,12.86,0.6,0.4,1.2,6.14,0,2.49,0,13.6,0.84,73.24,0.38,0,12.12,2.64,0,0
 60-70,0,0,38.49,0,0,0,3.97,0.76,2.72,0,22.45,1.13,114.49,0,0,18.57,13.41,0.61,0.73
 72-82,0,0,23.88,0,0,0.56,0,0,4.11,0,5.14,0,41.89,0,0,63.68,0,0,0
 84-94,0,0,13.27,0,0,0,0.6,0,2.3,1.64,6.79,0.71,23.54,0.7,0,56.86,0,0,0
 96-106,0,0,0.62,0,0,0,0,0,5.67,13.04,2.39,0,3.47,0,0,91.5,1.46,0,0
108-118,0,0,6.06,0,0,5.84,4.33,0,6.01,0,1.38,0,16.3,0,2.89,68.57,0,0,0
120,1.96,1.65,9.3,0,0,0,3,0,3.86,0,0,0,27.02,0,0,100.72,0,0,0
