stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,31.45,198.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.05,0,0,0,0,0,0,0,0,0
  5-6,0,35.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150.06,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,3.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.04,4.4,0,0,0,0,4.39,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,8.82,0,0,0,3.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.8,16.97,0,0,20.39,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.06,40.97,5.61,0,4.98,0,0,0,4.23,3.91,0,0.89,0.94,6.56,0,0,0,0,2.71,0,0,0,30.56,21.74,1.1,3.75,1.76,0,12.06,3.49,8.12,0.89,20.49,0,0,1.45,0,0
 24-34,0,0,0.66,0,27.21,4.33,0,4.68,0,7.6,0,0.87,0,0,2.72,6.04,7.63,0,3.14,1.14,2.97,2.22,0,0,1.39,97.86,11.83,5.3,22.42,0,1.61,19.15,0,9.16,0,13.25,0,0,6.02,0,0
 36-46,0,0,0,0,27.57,0.72,0,4.94,0,6.25,4.12,25,0.56,0,2.62,22.59,8.21,0,1.8,0,0,3.07,13.38,0.6,1.95,141.73,2.7,16.23,12.73,0,0,57.05,0,3.15,0,24.98,0,0,20.48,0,0
 48-58,0,0,0,0,14.8,8.27,0,18.24,0,3.37,1.68,36.56,3.26,0.39,0,6.57,1.64,0,2.05,1.04,6.68,5.06,1.02,1.1,0,150.78,13.2,5.97,13.13,0,0,44.45,0,0.59,0,22.27,0,0,21,0,1.53
 60-70,0,0,0,0,10.82,4.01,0,38.93,0,7.39,1.64,31.88,2.22,4.13,0,10.68,0.58,0,0,0,0.59,11.35,0.9,1.63,0,159.91,5.08,4.23,8.87,0,0,53.72,0,1.37,0,21.15,1.65,0,20.43,0,0
 72-82,0,0,0,0,12.94,47.06,0,90.05,0.82,3.38,6.7,31.15,1.32,0.59,1.57,10.75,1.85,0,5.04,0,0,28.74,0,1.3,0,237.44,1.92,3.65,22.32,0,0,11.9,0,5.67,0,11.81,0.68,0.91,20.78,1.09,0
 84-94,0.62,0,0,0,8.73,28,0,70.65,0,1.15,1.74,14.69,11.06,1.22,0,9.45,6.57,0,1.8,0.74,3.63,19,2.28,0.66,3.75,205.65,0,11.16,29.24,0,0,61.39,0,5.46,0,19.28,1.82,0,14.8,3,0
 96-106,0,0,7.01,0,19.07,71.04,0,127.44,0,3.91,0,21.98,7.07,0,2.89,11.78,4.45,0.73,3.13,6.54,1.91,21.63,6.61,0.7,2.01,205.73,3.31,7.22,18.48,0,1.92,71.33,0,3.39,0,15.02,11.28,0,23.91,3.76,0.9
108-118,0,0,1.57,0.44,31.63,20.73,2.71,92.78,0,4.15,0.72,25.01,9.94,0,3.21,16.77,8.42,5.23,7.1,3.39,3.06,45.79,1.37,0.5,7.93,248.03,1.61,12.39,26.24,0,2.06,52.15,0,6.12,0,8.42,7.36,0.9,7.07,0,0
120,0,0,1.37,4.41,31,23.89,0,117.38,0,6.75,24.32,22.6,18.32,0,0,27.8,17.58,7.5,4.78,14.13,0,59.27,0,7.65,3.68,322.37,0,21.5,54.98,0,0,42.43,0,8.99,0,4.09,0,2.71,12.04,0,0
