stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,57.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,19.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.87,5.81,26.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.1,0,7.45,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,0,0,0,20.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,4.25,2.22,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,3.31,6.37,0.83,0,0,2.16,0,2.17,0,2.97,1.87,0,0,0,0,0
 24-34,0,0,0,0,0,3.61,0,0.66,0,0.83,0,1.01,1,0.65,0,0,0,0,2.12,0,0.8,4.22,0,0,0,0.72,0,0,6.89,2.54,3,0,0,0.91,0,0
 36-46,0,0,0,0,0.9,8.97,0,0.83,0,0,0.92,0,0,0,0,1.04,0.72,0,2.49,0,0,18.4,0,0,0,1.34,0,0,3.84,0,2.94,0,0,3.1,0,0
 48-58,0,0,0,0,0,17.28,0,2.35,0,2.43,0.6,0,0,0,0,0,0,0,4.3,0,0,14.37,0,0,0,0,0,0,3.66,0,5.75,0,0,2.02,0,0
 60-70,0,0,0,0,1.29,35.73,0,0.65,3.31,0,1.19,0,0,0.81,0,0,1.87,0,2.92,0,0.66,33.11,0,0,0,0.57,0,0,12.1,0,0,0,0,0.81,0,0
 72-82,0,0,0,0,0,201.81,0,11.74,0,0,0.77,1.6,0,0,0,3.28,0,0,14.86,0.61,0.67,29.29,0,0,2.35,0,0,0,4.91,0,0,0,0.5,3.23,0,0
 84-94,0,0,0,0,1.27,136.35,0,9.24,0,1.01,0,3,1.42,3.49,0,8.87,0,0,5.18,0,4.18,2.33,0,0,0,3.51,0,0,6.12,0,0,0,2.38,3.73,0.89,0
 96-106,0,0,0,0,1.39,240,0.89,10.72,1.13,1.02,0.68,6.73,0,0,0,0.95,0,3.98,9.51,1.41,0,19.71,0.6,0,0.97,12.23,0,0,5.18,0,3.78,0,0,2.73,0.79,0
108-118,0,0,0.52,0,7.22,203.67,3.16,2.71,0.87,1,0,10.09,0,1.91,0,3.38,0,4.62,17.71,0,2.11,14.98,0,0,0.95,8.16,0,0,1.37,0,0,0.89,0,2.77,0,1.44
120,1.19,0,0,0,1.14,204.62,0,0,0,0,0,5.72,0,0,2.86,0,0,0,20.39,0,0,25.37,0,0,0,1.11,4.99,0,0,0,0,0,0,0,0,0
