stage,axial,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,immune,liver,mesenchyme,mucous,muscle,neural,pericytes,periderm,presomitic_mesoderm,pronephros,spinal_cord,vasculature,xanthophores
  7-9,6.05,0,0,4.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,21.9,0,0,0,0,0,0,0,1.06,0,0,5.48,0,0,3.61,0,0,0,0
 24-34,0,69.31,0,0,13.83,0,0,0,0,0.6,0.69,0,15.91,0,0.72,0,16.64,0,5.16,0
 36-46,0,85.51,0,1.25,13.03,0.87,0,0,0,3.02,0,1.06,2.81,0,1.61,0,8.78,0,15.9,0
 48-58,0,56.86,0,0.5,34.76,0,1.01,1.6,0,1.35,2.9,0.39,0.87,0,0,0,0.99,2.3,3.95,0
 60-70,0,62.05,0,0,11.47,0,0,2.76,0,0,0,1.08,0.87,0,0,0,3.21,0,0.79,0
 72-82,0,31.79,2.81,1.74,37.58,0,0,13.11,0,1.92,0,0,4.42,0,0,0,1.91,1.44,8.98,7.32
 84-94,0,60.38,0,0,28.42,0,0,1.76,0,0.72,0,0,0,0,0,0,2.91,1.23,13.78,0
 96-106,0,54.03,0,0,24.58,0,1.93,10.66,0,3.26,0,1.72,10.32,0,0,0,4.9,0,11.92,0
108-118,0,62.48,0,2.5,39.94,0,0,3.67,7.3,0,0,0,6.09,0.92,0,0,3.41,0,3.13,0
120,0,46.94,0,0,49.28,0,0,15.85,0,0,0,0,0,0,0,0,1.73,0,3.91,0
