stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,hatching_gland,immune,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,0,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,0,0
  5-6,26.44,207.51,0,0,0,0,0,0,0,0,0,0,0,17.62,0,0,0,0,8.88,0,0,0,0
  7-9,10.76,11.01,17.31,0,0,9.13,0,0,0,4.33,0,0,0,121.54,0,0,0,46.74,0,0,0,0,0
 10-12,0,0,40.34,0,0,15.37,0,0,0,6.95,0,0,0,198.07,17.82,0,0,94.9,0,20.59,0,0,0
 14-21,0,0,0.86,1.95,0.92,0,0,0,0,0,0,0,0,4.08,0,0.87,1.1,0,0,0,3.4,0,0
 24-34,0,0,0,0.94,0,0,0.72,0.8,0,0,0,0.74,0,24.08,0,0,0,0,0,0,3.97,0,2.14
 36-46,0,0,0,2.31,0,1.31,0,0,1.27,0,0,0.57,0,24.53,0,0,0,0,1.05,0,6.34,0,0
 48-58,0,0,0,0.63,0,11.42,0,0,0.53,0,0,2.5,0,35.61,0,0,0,0,0,0,4.94,0,0.44
 60-70,0,0,0,0,0,8.24,0,0.84,1.19,0,5.49,2.2,0,30.12,0,0,1.18,0,0,0,7.94,0.9,0
 72-82,0,0,0,0,0.49,6.76,0,0,0,0,0,1.1,0,27.49,0,0,0,0,0,0,7.14,0,0
 84-94,0,0,0,1.67,0,12.59,0,0,0,0,0,0,0,7.82,0,0,0,0,0,1.27,0,0,0
 96-106,0,0,0,0,0,2.3,0.59,0,0,0,0,2.07,0.78,9.74,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0.62,0,3.27,0.56,0,0,0,0.88,4.05,0,12.17,0,0,0,0,0,0,0,0,0
120,0,0,0,1.57,0,0,0,0,2.08,0,0,4.44,0,19.97,0,0,0,0,1.23,0,0,0,0
