stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,84.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,56.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.76,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.33,9.87,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0,0,0,0,0,0,0,11.85,0,0,0,7.64,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.65,9.28,0,0,62.14,0,0,0,0,5.88,0,0,0,0,0,0
 14-21,0,0,0,0.86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0,0,7.96,10.87,0,0,0,0,0,8.64,0,914.65,409.29,1.11,0,0,0,0,0
 24-34,0,0,2.19,0,8.82,292.95,0,0,1,0,0,0,0,0,0,0,0,0,15.23,0,0,61.76,112.39,2.36,0.67,0.67,0,5.21,2.4,0,568.75,349.2,17.45,0,0,0.82,0,0
 36-46,0,0,0,0,7.7,510.66,0,0,3.61,0,0,0,0,0,0,0,0,0,9.24,0,0,72.48,87.13,6.75,0,0,0,8.3,0,0,381.32,31.53,19.12,0,0,6.5,0,2.83
 48-58,0,0,0,0,41.59,445.69,0,0.94,11.86,0,0,0,0,0,0,0.48,0,1.1,19.51,0,0.75,106.73,141.66,4.97,1.19,0,0,6.75,0,0.48,216.7,0.83,36.95,0,0,2.76,0,4.16
 60-70,0,0,2.83,5.79,28.61,272.84,6.47,0,1.29,0,0,0,0,0,0.63,1.13,0,0,16.76,0,0,109.63,95.43,0,0,0,0,3.06,0,0,92.53,0,13.58,0,0,0,0,0
 72-82,0,0,0.84,4.47,35.1,187.93,0,0,9.26,0,0,1.42,0,0,0,0,0,0,27.17,0,0,95.72,76.22,0,3.38,0,0,2.89,0,0,50.93,0,6.01,1.36,0,10.83,0.52,36.53
 84-94,0,0,8.22,16.56,54.73,277.33,4.48,0,6.52,0,0,0,0,0,0,0,3.08,0,25.61,0,3.04,83.21,119.07,0,0.81,0,0,3.27,0,0,81.33,0,2.58,0,0,1.4,0,0
 96-106,0,0,3.45,44.09,116.75,312.86,0,0,9.44,1.28,0,0.79,1.27,2.23,0,1.58,14.77,0,28.3,1.65,5.02,101.39,120.51,0,3.89,2.03,0,8.06,0,0,63.3,0,0,0,1.53,0,2.3,9.45
108-118,0,0,2.52,1.76,29.69,255.94,0,0,4.07,0,0,0,1.2,0,0,0,5.1,0,33.92,4.25,1.5,104.8,81.72,0.49,0,2.17,0,4.47,0,0,57.95,0,4.59,0,0.67,0,0,0
120,0,0,2.51,0,29,201.87,0,0,21.98,0,0,1.54,1.92,0,0,1.07,0,0,10.09,0,0,105.99,62.35,0,0,11.41,0,0,0,0,27.63,0,0,0,0,0,0,0
