stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,hatching.gland,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature,xanthophores
  3-4,19.45,428.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.55,0,0,0,0,0,0
  5-6,24.2,793.77,0,0,0,0,0,0,0,0,0,0,17.77,0,0,0,0,25.68,0,0,0,10.37,0,0,0,0,0,0,0
  7-9,22.54,19.21,0,18.1,0,0,0,45.46,0,0,0,0,7.56,0,0,0,0,350.32,0,0,0,86.94,8.71,0,0,0,0,0,0
 10-12,0,0,0,7.54,0,0,0,0,0,0,0,0,8.1,0,0,0,0,112.4,0,0,0,24.69,4.52,0,0,0,0,0,0
 14-21,0,0,0.8,2.28,9.96,0.92,0,5.82,0,0,0,0.85,0,0,9.36,0,2.67,48.03,0.81,0,0,0.8,0.98,6.24,0,5.12,10.56,0,0
 24-34,0,0,0,0.87,0.86,0,0,4.83,0,0,0,0,0,0,9.33,0,3.15,37.87,0,0,0,0,0,0,0,1.21,8.45,0,0.89
 36-46,0,0,0,0,2,0,0,3.3,0,0,1.66,0,0,0,0.63,0,6.65,41.71,0,0.99,0,0,0,0,0.7,0,5.09,0,0
 48-58,0,0,0,0,0,0,0,3.77,0,0,1.67,3.23,0,0,11.04,0,0.53,45.24,0,0,0,0,2.24,0,0,0,1.78,0,0
 60-70,0,0,0.86,0,0,0,0,5.37,1.04,0,2.73,0.63,0,0.74,0.68,0,0,53.54,0,0,0,0,0,0,0,0,3.79,0,0
 72-82,0,0,0,0,1.19,0,0,28.88,0,0.68,0,0,0,0.5,6.93,0.88,0.77,61.47,0,0.67,0,0,0,0,0,0,5.04,0.98,0
 84-94,0,0,0,0,0,0,0,25.04,0,0,5.51,0,0,0.57,0,0,1.25,33,0,0.97,0,0,0,0,0,0,8.88,0,0
 96-106,0,0,0,0,3.96,0,0,14.85,0,0,0.95,0,0,0,4.23,0.68,0,51.76,0,0,0,0,4.46,0,0,0,1.34,0,0
108-118,0,0,0,0,8.15,4.46,0.91,19.5,0,0,0,1.17,0,0.44,11.62,0,0.46,24.89,0,0,0.41,0,0,0,0,0,2.92,0,0
120,0,0,0,0,4.74,1.53,0,4.68,0,0,0,0,0,0,1.7,0,0,51.12,0,0,0,0,0,0,0,0,5.86,0,0
