stage,epidermis,eye,fast.muscle,glial,gut,ionocyte,liver,mesenchyme,mucous,neural,olfactory,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
 14-21,0,0,0,0,0,0,0,0,0,0.89,0,3.24,0,0,0,0
 24-34,0,0.91,0,0,0,0,0,0,0,4.13,0,0.77,0,0.82,0,0
 36-46,0,0,1.82,0,0,0,0,0.81,0,3.87,0.87,2.69,0,1.63,3.09,0
 48-58,0.49,1.31,0,0,0,0,0,0,2.26,2.73,0,3.75,0,0,0,0
 60-70,0,3.24,0,0,1.86,0,0,0,0,2.65,0,10.49,0,0,0,0
 72-82,0,0.54,0,1.2,0,0,0,0,0,1.67,0,1.1,0,0,0,0
 84-94,1.98,8.82,0,0,2.34,0,1.55,0,0,0,0,25.76,0,0,0,0
 96-106,0.8,1.24,0,0,1.47,0,0,0,0,13.12,0,15.09,0,0,0,0
108-118,0.67,0,0,0,0,0.8,0,0,0,7.13,0,12.8,1.41,0,0,1.11
120,2.71,0,0,0,3.64,0,0,0,0,1.78,0,16.62,0,0,0,0
