stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral.line,mesenchyme,mucous,muscle,neural,otic,periderm,pronephros,vascular.smooth.muscle,vasculature
  3-4,38.09,0,0,0,0,0,0,0,0,0,0,0,0,17.48,0,0,0
  5-6,97.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,10.03,0,0,0,0,0
 14-21,0,0,0,0,0,1.82,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,8.52,0,0,0,0,0,0.83,0,0,0,0,0
 36-46,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,11.4,0,0,4.06,0,0,1.89,0,0,0,0,0
 60-70,0,0,0,0,0,0.81,0,0,4.15,0,0,1.2,1.26,0,0,0,0.94
 72-82,0,0,0.78,18.4,0.94,0,0,0,2.54,0,1.42,1.31,0.52,0,0,0,0
 84-94,0,0,0.73,10.22,0,0,0,0.64,2.49,0,0,0,0,0,0,0,1.34
 96-106,0,6.19,2.99,19.77,0,61.81,0,0,2.58,0,0,2.16,4.21,0,0,0,0
108-118,0,0,2.42,0,0,152.81,4.4,0,12.74,1.27,0,4.34,0.41,0.83,0.41,1.81,1.89
120,0,0,4.26,39.24,0,662.45,1.06,0,11.29,0,0,3.09,2.63,1.06,0,3.14,23.55
