stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,212.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.45,97.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.38,0,0,0,0,0,11.11,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.7,0,0,0,17.15,0,0,9.51,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4,3.74,0,0,4.19,0,0,4.94,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,18.62,0,0,0.81,0,0,0,0,0.97,0,11.77,0,0,0,0,0,0,0.83,0,0,7.08,14.39,3.54,0,0,0,0,2.97,4.69,4.14,0,6.16,4.76,1.52,0,0,0,0,0
 24-34,0,0,0,45.51,0,0,0,40.46,0,1.44,2.55,0,0,2.16,0,0,0,2.49,0,0,8.2,1.25,0,6.76,41.13,0,1.34,0,0,0,13.12,1.92,0,1.12,22.94,6.62,1.78,0,0,3.82,0,0
 36-46,0,0,0,19.34,0,0,10.64,136.43,0.71,9.53,3.84,0,0,0.67,0,0,0.65,1.34,0,0,11.14,0,1.13,10.36,30.31,0,2.87,0,0,8.6,14.86,3.1,0,0,36.8,2.48,9.92,0,0,0,0,9.09
 48-58,0,0,0,20.92,0.45,0,27.8,126.57,0.79,18.25,7.47,0,0,0,0,0.38,0.63,0.9,0,0.73,20.46,1.89,0,7.25,67.64,0.5,7.92,0,0,0,5.55,0,0,0,28.8,0,17.77,0,0,0,0,3.82
 60-70,0,0,10.41,27.49,0.59,0,34.69,118.31,3.17,24.46,14.71,0.63,0.59,0,0.6,0.56,0.7,0,4.22,0,15.24,0,0,9.43,84.69,0,0.7,5.97,0,0,15.36,0,0,0,13.68,0,10.13,0,0,0,0,2.08
 72-82,0,0,0,23.51,3.57,0,28.39,107.24,0,16.85,8.29,1.58,2.07,0,1.42,1.2,0,0,5.69,0,32.58,0.73,0,8.05,71.68,0,1.65,1.7,0,0,1.8,0.56,0,0,10.44,0,8.49,0,0,2.8,0,8.66
 84-94,0,0,1.48,58.29,8.92,0,34.97,157.2,4.1,9.07,5.94,1.01,0,0,0,5.5,0,0,1.73,0,27.27,0,1.06,9.52,40.89,0,6.82,0.63,0,1.59,20.39,0,0,0,16.76,0,10.76,0,2.5,2.4,2.3,0.64
 96-106,0,0,1.1,69.05,16.87,3.31,89.83,220.07,2.16,2.14,9.25,2.44,0,0,0.83,2.86,1.06,4.23,5.31,0,29.45,0,0,20.59,73.42,0,5.51,0.96,0,0,14.36,0,0,0,11.39,0,5.08,1.74,0,0.57,0,28.21
108-118,0,0,0,81.46,2.05,4.12,32.54,205.87,6.32,4.76,13.51,3.36,0,0.88,2.82,3.3,2.81,0,1.41,6.46,39.88,11.03,0,14.21,88.54,0,6.19,1.4,0,0,21.49,0,0,0.44,17.46,0,8.98,0,1.75,9.65,3.33,2.92
120,0,0,0,40.68,0,0,64.7,97.12,10.51,0,9.51,2.48,0,0,0,1.28,0,0,0,0,16.54,2.99,2.47,10.33,96.79,1.29,1.77,0,0,0,3.42,0,0,0,3.15,0,0,0,0,19.35,0,0
