stage,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,otic,periderm,presomitic_mesoderm,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,2.15,0,0,0,0.82,0,0,0,0
 24-34,0,0,0,0,0,0,0,1.1,0,0,8.49,0,0,1.97,0,1.92,0,0,0
 36-46,0,0,3.04,0,0,12,0,1.33,0,0,4.88,1.24,0,0,0,1.47,2.41,0,0
 48-58,0,0,0,0,0,0,0,1.69,0,0,9.42,0,0,0,0,2.65,0.73,0,0
 60-70,0,0,2.72,0,0,0,0,0,0,0,15.38,0,0,0,0,0,0,0,1.82
 72-82,0,0,1.38,0,4.13,0,0,0,0,6.94,5.11,0,0,0,0,1.17,0,4.01,0
 84-94,0,0,5.23,0,0,0,0.83,1.76,0,0,5.65,0,0,0,0,0,1.55,0,0
 96-106,0,0,0,0,2.43,0,0,3.2,0,0,1.57,0,0.6,0,0,0,0,0,0
108-118,0.77,0,0.79,0.76,2.22,0,0,0,1.96,0,13.01,0,4.45,0,0,0,4.25,0,0
120,0,14.33,0,0,0,0,0,13.77,0,0,13.28,0,0,0,0,0,0,0,0
