stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,liver,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,37.95,591.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.74,0,0,0,0,0
  5-6,99.8,1092.88,12.33,0,0,0,0,0,0,0,0,0,0,14.41,0,0,35.22,0,0,0,0,0
  7-9,10.67,85.8,37.02,0,0,0,97.25,0,0,71.68,0,0,0,1293.62,13.13,496.34,7.16,0,0,0,0,0
 10-12,0,32.67,32.01,0,5.34,0,119.68,0,0,41.68,0,0,0,1111.28,22.74,491.46,0,3.57,62.02,0,0,0
 14-21,0,0,1.03,0,0,0,0,0,1.31,0,0,0,0,2.66,0,0,0,0,0,0.89,0.81,0
 24-34,0,0,0,0,0,0,2.03,0,0,0,0,0.75,1,11.63,0,0,2.79,0,0,0,3.01,0
 36-46,0,0,0,0,0,0,0,0,0,0,0.67,1,0,0.65,0,0,0,0,0,0,1.75,0
 48-58,0,0,0,0,0,0,1.32,0.48,0.94,0.49,0,1.43,0,10.99,0,0,0,0,0,0,1.53,0
 60-70,0,0,0,0,0,0,1.19,0,0,0,0,2.92,0,0,0,0,0,0,0,0,0.84,0
 72-82,0,0,0,0,0,0,1.37,0,0,0,0,0.73,1.27,2.08,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0.55,0,0,1.98,0,1.6,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.64,0,0,5.89,0,0,0,0,1.47,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.65,1.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
120,0,0,0,2.34,0,0,0,0,0,0,0,0,0,3.83,0,0,0,0,0,0,0,0
