stage,epidermis,fin.epithelia,neural,periderm
 24-34,0,0,5.28,0
 36-46,0,0,10.84,0
 48-58,0.73,0,5.76,0.59
 60-70,0,0,4.62,0
 72-82,0,0,2.49,0
 84-94,0,0,26.24,0
 96-106,2.12,0,0,0
108-118,5.09,0.8,15.96,2.36
120,0,0,0,3.12
