stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,32.44,52.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,24.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,24.88,0,11.96,0,0,4.16,0,0,0,0,0,3.76,0,0,0,0,0,0,0,0,0,0,386.08,49.61,0,0,716.28,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,278.49,0,971.49,0,0,6.65,0,0,0,0,0,4.05,0,0,0,0,0,0,0,0,0,0,4674.15,534.42,0,0,22985.36,0,3.07,452.31,1323.43,0,294.03,75.55,0,0,0,0
 14-21,0.89,5.95,0,35.52,167.03,226.22,2.11,0,0.95,0,152.69,125.67,10.2,0,0,1.15,0,3.35,0,429.11,0,0,395.7,746.6,209.82,0,1.83,517.64,0,14.73,4289.09,16.41,174.87,3435,2919.15,0,2.04,0,0.84
 24-34,0,0,0,10.19,12.09,8.63,0.84,2.66,1.76,1.28,89.33,16.15,0,0,0,0,0,0,4.12,139.02,0,0,76.91,160.54,6.21,0.68,0,0,0,13.31,12.42,0,10.28,131.75,463.15,0,10.87,0,1.56
 36-46,0,0,0,0,0.56,0,0.63,1.56,0.56,0,5.3,0,0,0,0,0,0,0,0,19.69,0,0,7.53,31.76,0.66,0,0,0,0,4.87,0,2.89,1.14,0,109.42,0,2.25,0,0
 48-58,0,0,0.67,0,4.44,0,0,1.54,0,0.45,3.29,0,0,0,0,0,0,0,0,6.12,0,0.56,1.57,35.28,0.38,0,0,0,0,0,0,0,0.44,0,64.36,0,0,0,0
 60-70,0,0,0,0,0,0,3.29,1.42,0,0,3.05,0,0,0,0,0,3.59,0,0,7.14,0,1.9,5.2,6.19,0,0,0,0,1.21,0,0,0.93,2.96,0,21.58,0,0,0,0
 72-82,0,0,0,0,0,0,0,0,0,1.14,14.8,1.29,0,0,1.38,0,0,0,0,3.81,0,0,2.69,22.79,2.85,0,0,0,0,0,0,1.5,5.12,0,4.94,0,0,3.08,0
 84-94,0,0,0,0,0.66,0,0,1,0,0,18.61,8.77,0,0,0,0,0,0,0,3.19,0,0,0,11.24,0,0,0,0,0,0,0,2.15,1.13,0,7.26,1.37,0,0,4.52
 96-106,0,0,1.1,0,0.57,0,0,0.79,0,0,9.92,2.21,0,0,3.61,0,0,0,0.68,0.86,2.03,0,5.37,4.39,0,0,1.13,0,0,0,0,1.42,0.77,0,2.13,0,0,0,0
108-118,0,0,0,0,0,0,0,0.45,0,0,17.51,0.56,0,1.25,3.73,0,0,0,0,6.28,0,0.83,0.55,10.48,0,0,0,0,0,0,0,0.72,6.02,0,0.58,0,0,3.72,0
120,0,0,0,0,0,0,1.29,1.18,0,8.73,15.65,5.36,0,5.1,34.13,0,0,0,0,0,0,0,1.36,9.81,0,0,0,0,0,0,0,0,1.37,0,0,0,0,0,0
