stage,blastomeres,endocrine.pancreas,endoderm,epidermis,eye,glial,gut,lateral.line,mesenchyme,muscle,neural,olfactory,otic,pronephros,somites,spinal.cord
  3-4,38.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.36,0,0,0,0,0,0,0,20.26,0,0,0,0,0
 14-21,0,0,0,3.38,0,0,0,0,0,0,3.6,1.57,0,0,1.16,2.19
 24-34,0,0,0.76,0,1.4,0,0,0,0,0,23.21,4,0,0.73,0,3.94
 36-46,0,0,0,0,0,0,0,0,0,0,28.05,3.73,0.57,0,0,3.98
 48-58,0,0,0,0,8.33,0,0,0,3.21,0.67,39.54,0.83,0,0,0,4.94
 60-70,0,0,0,0,14.53,0,0,0,0.84,0,19.49,1.55,0,0,0,5.3
 72-82,0,0,0,0,4.67,0,1.04,0,0,0,9.5,0,0,0,0,0
 84-94,0,0,0,0,4.95,2.51,0,0,0,0,15.45,0,0,0,0,4.71
 96-106,0,1.08,0,0,1.99,0,0,0,0,0,9.98,0,0,0,0,0
108-118,0,0,0,0,0.68,1.05,0,0.7,1.63,0,12.83,7.76,0,0,0,0
120,0,0,0,0,14.83,0,0,0,0,0,33.76,0,0,0,0,0
