stage,axial,blastomeres,epidermis,eye,fin_mesenchyme,glial,mesenchyme,neural,olfactory,paraxial_mesoderm,periderm,pronephros,spinal_cord
  3-4,17.01,64.65,0,0,0,0,0,0,0,0,19.43,0,0
  5-6,28.78,24.09,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,18.64,0,10.11,0,0,0
 10-12,0,0,0,0,0,0,0,7.54,0,0,0,0,0
 14-21,0,0,0,0.83,0,0,0,4.69,0,0,0,0,1.68
 24-34,0,0,0,0,0,0,0,14.36,0,0,0,0,12.23
 36-46,0,0,0,0,0,0,0,19.73,0,0,0,0.59,2.12
 48-58,0,0,0,0.83,0,0.41,0,25.25,0.47,0,0,0,2.42
 60-70,0,0,0,0.81,0,0,0,23.66,0,0,0,0,2.65
 72-82,0,0,0,8.96,0,0,3.24,21.66,0,0,0,0,1.09
 84-94,0,0,0,16.06,0,2.31,0,14.94,0,0,0,0,0
 96-106,0,0,1.34,0,0.76,0,0,5.52,0,0,0,0,0
108-118,0,0,0,4.8,0,1.33,0,24.46,0,0,0,0,0
120,0,0,0,13.55,0,0,0,17.36,0,0,0,0,0
