stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,glial,heart,immune,mesenchyme,neural,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,0,34.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,9.85,32.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.77,0,0,0,0,0,0,0,0,7.09,0,7.65,0,0,0,0,0,0
 10-12,0,4.79,8.22,0,0,0,0,0,0,0,0,0,0,5.22,0,0,0,0,0,0
 14-21,0,0,0.96,0,1.03,0,0,0,0,0,0,2.84,0,0,0,1.22,0,6.46,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.63,7.88,0,0,0,0,0.65,3.2,0,0
 36-46,0,0,0,0,0,0.74,0,0,0,0,1.64,3.46,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,1.27,0.99,0.55,0,0,0.45,0.7,0,0,2.12,0,0,1.87,0,0
 60-70,0,0,0,0,0,0,0,0.59,0,0,0.97,1.65,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0.8,0,3.86,0.7,0.49,2.11,0.7,1.32,0,0,0,0,1.21,0.65,0
 84-94,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.39,0,0,0,0,0,1.28,0,1.75,0,0,0,0,0,0,0,0.81
108-118,0,0,0,0,0,0,0,1.13,0.88,0,2.12,1.5,0.75,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,2.54,1.21,8.35,0,0,0,0,0,0,0,0
