stage,axial,blastomeres,endoderm,epidermis,eye,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature
  3-4,442.07,2400.2,0,0,0,0,0,0,0,0,0,0,328.56,0,0,0
  5-6,632.53,2029.6,10.71,0,0,98.54,0,0,0,220.8,0,20.97,104.51,0,0,0
  7-9,6.19,0,30.14,0,0,30.41,0,0,0,37.1,0,8.09,5.38,0,0,0
 10-12,0,0,0,0,0,5.85,0,0,0,7.25,8.31,0,0,0,0,0
 14-21,0,0,0,2.78,0,0,1.15,0,0,22.52,1.42,0,0,1.16,0.9,0
 24-34,0,0,0,0.63,0,0,0,0.67,0,12.27,0,0,6.28,0,0.98,0
 36-46,0,0,0,0,0,0,0,0,0.57,1,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,4.28,0,1.65,0,0,0,0,0.96,0
 60-70,0,0,0,0,0,1.21,0,0,1.16,8.51,0.85,0,0,0,0,0
 72-82,0,0,0,0,3,0,0,0,0,3.55,0,0,0,0,1.86,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07
108-118,0,0,0.74,0,4.24,0,0,0.87,0,0,0,0,0,0,0,0
