stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,12.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.74,0,0,7.59,0,0,0,0,0,0,0,0,0,124.15,0,0,23.8,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116.39,0,0,10.95,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,4.46,3.17,0,0,0,3.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.64,0
 24-34,0,0,0,0,0.66,0.7,0,0,6.41,0,0,0.75,0,0,1.65,1.25,0,0,0,0,17.51,5.82,0,0,0,0,68.2,0
 36-46,0,0,0,0,0,0.83,5.5,0,28.84,0,0,5.34,0,0,0,6.51,0,2.11,0,0,14.06,0,0,1.63,0,0,14.33,0
 48-58,0,0,0,0,0,3.62,4.77,0,6.78,0,0,10.39,0,0,0.54,7.62,0,0,0,0,3.82,0,0,6.36,0,0,6.93,0
 60-70,0,0,0,0,0,40.32,7.07,1.68,13.2,0,0,32.98,0,0,0,14.52,0,0,0,0,4.69,0.76,2.28,10.23,0,2.56,10.37,0
 72-82,0,0,0,0,0,175.73,6.17,4.03,10.04,0,0,22.9,0.66,1.32,0,18.71,0,0,0,0,12.74,0,0,4.91,0.56,1.79,22.95,2.77
 84-94,0,0,0,0,0,277.24,10.67,1.85,10.96,0,5.22,33.81,0,0,3.57,19.23,0,0,0,1.59,0,0,0,0,0,0,13.62,0
 96-106,0,0.99,0,0,0.96,363.16,12.08,0.81,20.17,0,0,17.61,0,0,0.56,24.24,0.81,0,0,0,2.37,0,0,0,0,0,11.27,0
108-118,0,1.03,0,2.09,0,381,23.75,0.54,24.74,0.67,0,32.46,0,0,2.59,22.11,0,0,0,9.59,0,0,0,0,0,0,9.78,1.93
120,0,0,0,4.5,0,552.13,31.53,0,29.06,0,0,30.6,0,0,0,35.02,0,0,0,0,0,0,0,0,0,0,30.22,0
