stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,slow.muscle,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  5-6,39.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.18,0,0,0,3.98,0,0,0,0,0,0,0,0
 10-12,0,6.23,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.88,0,0,0,0,0,0,0,0,0,0,0,15.35,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0.71,0,0,0,0,0,0,1.02,0,0,0,0,21.94,0,0,0,0.88,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0.58,0,0,0,57.03,0.68,0,0,5.14,0,0,0,0,0,3.68,0,0,0,0,0,0
 48-58,0,1.83,0,0,0,0,0,0,0,3.6,0,0,0,33.09,0,0,0,1.9,0,0,0,0,0,0,0,0,3.48,0,0,0
 60-70,0,0,0,0,0,1.15,0,0,0.8,10.63,0,0,0,13.88,2.38,0,0,14.41,0,0,0,0,0,0,0,0,0.7,0,0,0
 72-82,0,0,0.79,0,3.25,3.3,0,0,1.35,1.82,0.65,2.14,0,74.87,6.18,1.17,0,12.67,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,21.93,7.96,0,0,0.95,8.77,0,0,0,194.62,1.48,0,0,16.69,0,0,0,0,0,2.23,0.64,0,0,0,0,0
 96-106,0,0,7.54,20.31,7.74,69.39,0,1.5,6.43,19.14,0.8,0,2.81,900.85,13.42,0.56,3.82,153.78,1.12,0,2.09,0,0,2.28,0.7,0.74,2.12,1.26,14.44,0
108-118,0,0.49,0,2.11,15.95,42.6,0.45,0,3.94,24.02,2.02,0,0,1410.67,12.18,1.77,0.48,92.97,0.41,1.47,0.57,0,3.72,7.94,0,0.57,0,0,0,0.75
120,0,0,2.23,6.93,4.27,37.76,0,0,11.81,33.4,12.08,0,6.94,1033.32,18.57,0,0,89.97,0,0,0,0,0,5.12,0,0,0,0,6.1,0
