stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,1.03,6.24,4.58,2.61,0,0,21.28,0,0,0,0,0,0,0,12.06,0,5.89,84.41,0.87,5.06,4.34,0.92,0,0,0,4.84,42.43,2.65,116.72,0,0,0
 24-34,0.66,0,6.12,0.67,0.61,0,0.61,23.37,0,0,0,0,0,0.71,1.7,10.49,0,3.29,102.92,0.97,3.35,1.73,0,0,1.93,0,0,4,1.27,68.43,0,0,0
 36-46,0,0,1.38,0,14.19,0,2.07,22.13,0,0,0.66,0,0,3.34,0,13.93,0,4.8,191.52,0,21.44,2.98,0,0,0,0,0,14.41,0,69.97,0,0,0
 48-58,0,0,4.71,0,43.51,0,0,20.93,0,0,0,0,0,1.58,0,12.52,0,8.25,207.25,0,20.04,2.08,0,0,0,0,0,3.16,0,67.15,0,1.79,0
 60-70,0,0,5.97,0,116.83,0,0,32.82,0,0,1.27,0,0,2.61,0,14.33,0,0,323.05,0,15.99,3.2,0,0,3.41,0,0,0,0,33.97,0,1.99,0
 72-82,0,0,0.95,0,108.15,0,0,37,0,1.48,1.64,0,0,8.26,0,31.09,0.81,0,182.02,0,28.24,5.22,0,0,0,0,0,1.43,0,29.74,3.93,3.12,0
 84-94,0,0.59,1.41,0,122.14,0.7,1.14,12.56,1.31,0,0.73,0,0,6.57,0,24.47,1.6,6.11,297.71,0,18.9,11.58,0,0,0.62,1.4,0,3.54,0,26.96,0,1.59,0
 96-106,0,0,5.75,2.2,74.84,0,0,19.94,1.01,1.55,3.91,0,0.81,6.32,0,23.83,5.07,0.76,158.95,0,29.31,24.22,0,0,4.19,0,0,1.31,0,1.92,0,9.4,0
108-118,0,0.68,5.13,0,92.49,0,0,17.76,1.16,0,1.3,0.42,0.53,7.33,0,25.29,4.32,1.15,232.82,0,22.3,12.15,0,3.53,3.01,0,0,7.14,0,10.24,3.4,0,2.91
120,0,0,2.07,0,60.09,0,0,12,0,0,1.06,0,0,2.11,0,1.08,0,8.93,306.79,0,3.36,3.98,0,0,3.04,0,0,19.8,0,25.01,0,0,0
