stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,liver,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
  3-4,34.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.45,0,0,0,0,0,0,0,0,0,7.25,0,0,0,0,47.33,0,25.79,0,0,0,0,0,0,0,0,0
 10-12,13.78,17.29,0,9.23,0,0,0,0,0,0,3.88,0,0,0,0,190.22,6.58,33.85,0,5.55,0,15.23,0,0,0,0,0
 14-21,0,0,4.32,0.97,0,0,0,0,0,0,0,0,0,1.06,2.62,15.26,0,0.87,0,0,0.88,0,3.77,4.69,0,0,0
 24-34,0,0.62,0,0,1.61,0,1.04,0,1.27,0,0,0,0,4.76,1.82,4.73,0,0,3.75,0,0,0,0.7,7.14,0,0,0
 36-46,0,0,0,0,0.59,0,0,0,0.97,0,0,0.99,1.07,3.82,0.78,4.82,0,0,0,0,0,0,0,0.8,0,1.36,0
 48-58,0,0,0,0,0,0,0,0.9,0,0,0,0,0,1.73,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,4.94,0,0,0,0,0,0,0,0,3.91,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0.79,0,0,0,0.66,0,0,0,0,0.57,1.93,0,0,0,0,0,0,0,0,1.05,0,0
 96-106,0,0,0,0,0,0,1.35,0,0,0,0,0,0,0,0,5.54,0,0,0.7,0,0,0,0,0,0,0,2.2
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38,0,3.14,0,0,0,0,0,0,0,0,2.03,0,0
