stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,11.6,494.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,27.66,805.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.44,0,0,0,8.83,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.52,9.2,0,9.36,0,0,26.82,0,0,0,0,0,12.46,0,0,0,0,0,0,0,0,0,0,253.81,4.41,0,0,80.55,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,7.78,0,20.56,0,0,24.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.96,3.71,0,0,42.35,0,0,0,8.98,0,0,3.28,0,0,0,0
 14-21,0,0,0,0.88,7.28,1.17,13.11,0,0,0,1.26,0.99,0,0,0,0,0,0,0,6.12,0,0,5.77,133.8,1.29,1.02,0,0,0,0,10.15,0.86,0,11.52,41.73,0,1.35,0,0
 24-34,0,0,0,0,2.21,0,8.62,0,1.24,0,3.87,0,0,0,0,0,0,0.6,0,14.19,0,0,4.14,131.94,0.86,0.87,0.65,0,0,3.61,0,0.71,0,1.29,27.76,0,0,0,0
 36-46,0,0,0,0,11.16,0,22.03,0,0.57,0.65,12.35,0.72,0,0,0,0,0,0,1.14,7.55,0,0,2.38,145.51,0,0,0,0,0,10.28,0,0,0,0,34.23,0,5.69,0,0
 48-58,0,0,0,0,0,0,45.83,0,0,0,29.53,0,0,0.65,0,0.37,0,0,0,21.81,0,1.34,3.74,143.44,0,0,0.44,0,0,2.89,0,0,0,0,26.42,0,0.44,0,1.08
 60-70,0,0,0,0,11.34,0,68.96,1.89,0,1.79,23.1,0,0,0.71,0,0,0,0,0,31.54,0,0.93,3.17,102.82,0,1.95,0,0,0,6.92,0,0,0,0,22.78,0.82,2.07,0.71,2.33
 72-82,0,0,0.93,0,7.75,0,33.09,0,8.97,0.69,23.84,0.56,0,0,2.29,0,0,2.25,0,41.23,0,0.51,1.43,94.28,0,2.04,1.51,0,0,0.98,0,0,0,0,28.28,0,0.72,2.81,0
 84-94,0,0,0,0,2.18,1.41,12.21,0,0,0,26.09,0.63,0,0,2.04,0,0,0,4.64,31.75,0,0,0,33.92,0,0,1.23,0,0,5.79,0,0,0,0,7.03,1.03,0.84,0,0.89
 96-106,0,0,0,0,4.04,0,29.98,0,0,0,20.06,0,0,0.61,2.14,0,0,1.13,0,15.84,1.23,0,0,39.68,0,0,2.86,0,4.31,1.17,0,0,0,0,6.01,0,1.31,0.68,6.78
108-118,0,0,0,0,2.01,0,11.95,0,4.23,1.56,10.73,2.24,0,0.69,0.85,0,1.59,0.45,0,16.12,0,0,2.23,52.47,0,0,0.58,0,0.91,4.85,0,0.41,1.1,0,0.48,0,1.59,0,0
120,0,0,0,0,3.22,0,5.85,0,0,0,9.36,0,0,0,0,0,6.38,0,0,15.21,0,0,3.56,53.68,0,0,2.25,0,0,4.79,0,0,0,0,0,0,2.76,1.99,4.96
