stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,12.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,41.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.05,0,0,0,0,0,0,0,0,4.61,0,0,0,0,0,0,0,0,0,0,0,22.32,4.5,0,0,11.17,0,0,0,0,0,0,0,0,0,0
 10-12,4.52,0,28.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.97,0,0,0,15.15,0,0,0,7.7,0,0,0,0,0,0
 14-21,0,1.24,2.15,9.5,1.95,6.8,0,0,0,3.74,0.97,0,0.92,0,0.83,0,0,0,0,7.99,0,0,3.55,51.44,0,0,1.05,0.91,0,0,4.75,13.99,58.27,9.09,81.33,0,0,0
 24-34,0,0,0.59,1.24,0,7.5,0.72,2.35,0,8.84,1.69,0,0,0,0.63,0,0,0,0.62,2.99,0,0,20.21,179.88,0,3.62,2.33,0,0,0.73,0,25.97,14.71,4.89,35.46,0,0.6,0
 36-46,0,0,0,0.66,0,26.38,0,0,0,14.17,0.59,0,0,2.77,0,0,3.34,0,10.04,20.5,0,0,5.37,109.46,0,1.02,2.91,0,0,0.85,0,39.52,1.44,0.63,24.47,0,2.67,0
 48-58,0,0,0,2.71,0,43.68,0.67,0,0.97,11.64,0,2.77,0,0,0,0,1.28,2.67,4.13,21.03,0,0,4.08,167.48,6.44,4.62,1.97,0,0,2.23,0,9.64,3.31,0,37.07,0,2.28,0
 60-70,0,0,0,0,0,78.08,0,0,1.68,13.23,0,0,0,0,0,0,4.41,0.61,0,19.37,0,0,1.78,134.32,0,4.8,0.93,0,0,0,0,7.39,0,0,40.25,0,3.14,0
 72-82,0,0,0,0,0.69,92.28,0,0,0,9.14,0.53,0,0,1.22,0,0,2.52,3.28,5.12,18.14,0,0,2.42,156.93,0,4.41,3.69,0,0,0,0,4.67,0,0,38.05,0,5.18,0
 84-94,0,0,0,0,1.38,58.43,0,0,0.71,12.07,0,0,0,0.67,0,0,0,1.26,0,12.29,0,1.27,0.56,49.59,0,6.59,7.16,0,0,0,0,8.1,0,0,18.99,0,10.92,0
 96-106,0,0,1.03,0.66,5.77,36.76,0,0,0,18.41,0.86,0,0,0,0,0.71,5.86,0,0,15.18,0,0,0,40.41,0,2.71,17.98,0,1.57,6.03,0,2.05,0.62,0,0.87,0.56,0,1.24
108-118,0,0,2.13,4.34,0,19.96,0,1.14,0,6.13,0,0,0,0.56,0.85,3.03,4.32,1.13,0,13.73,1.71,0,0.91,38.53,0,6.9,25.01,0,0,2.18,0,3.12,0,0,2.02,0,7.62,0
120,0,0,0,0,2.55,38.18,0,0,4.21,0,13.76,0,0,0,2.21,0,7.03,0,0,15.89,0,0,1.13,56.19,0,0,34.14,0,0,0,0,0,0,0,0,0,0,0
